t,D_L1_h,D_L1_w,D_L1_c,D_KL_h,D_KL_w,D_KL_c
0,1.342744796,1.171994569,0.007016223555,6.886332015,3.023281422,8.93029665e-05
0.0025,1.287473363,1.112415273,0.008213659883,5.263283526,2.124874782,0.0001209681707
0.005,1.227117976,1.053708567,0.00998807252,3.453024619,1.562575078,0.0001377465136
0.0075,1.162289783,1.000278174,0.00755607772,2.253990191,1.249186368,0.0001342974752
0.01,1.09309641,0.952730176,0.007366638223,1.616081612,1.056995005,0.0001270762965
0.0125,1.021398906,0.9099581826,0.008580487056,1.249992418,0.9309107709,0.0001168819973
0.015,0.9612708207,0.8747746794,0.008409914321,1.02250189,0.8434671182,0.0001271647108
0.0175,0.90956284,0.8474351981,0.009696374359,0.8742311601,0.777028267,0.0001318845421
0.02,0.8651592796,0.826878667,0.008307542861,0.7719582771,0.7245275447,0.0001096113001
0.0225,0.8323837553,0.8122285794,0.008291888726,0.6971052829,0.6809373008,0.0001033101067
0.025,0.8082077553,0.800078556,0.008842117814,0.6408287653,0.6442633448,0.0001043445079
0.0275,0.7912412682,0.7893127582,0.01029596527,0.5977466461,0.6119760897,0.0001303837775
0.03,0.7793727684,0.7784782219,0.009868758636,0.5630205863,0.5838088728,0.0001318797196
0.0325,0.7683510819,0.7686874454,0.009289612834,0.5337910826,0.5585783252,0.0001180372142
0.035,0.7601889334,0.7595480383,0.007161788043,0.5090542614,0.5355046659,9.433426396e-05
0.0375,0.753180212,0.7509978098,0.008856570348,0.4876631012,0.5140054826,0.0001095744937
0.04,0.7464998204,0.7423182219,0.007689897535,0.4688526378,0.4941526072,8.855068373e-05
0.0425,0.7394440646,0.7342102219,0.00825783826,0.4525231715,0.4760110241,0.0001005022066
0.045,0.7330110965,0.7262168456,0.009035591091,0.4373577227,0.4589108827,0.0001343919776
0.0475,0.7271832978,0.718983,0.0075984832,0.4237991307,0.4424347596,9.754073693e-05
0.05,0.7212656962,0.7114862219,0.00724657125,0.4113004129,0.4270760381,0.0001338984724
0.0525,0.7157197098,0.7047035949,0.007835561796,0.3995639641,0.4135862809,0.0001075772678
0.055,0.7106425349,0.698342947,0.008785856824,0.3892091345,0.4008046626,0.0001160086374
0.0575,0.7052179215,0.6921867247,0.008292507134,0.3788956735,0.3888036953,0.0001067316325
0.06,0.7004503059,0.686298947,0.007793690247,0.3699289777,0.3773903885,9.068432728e-05
0.0625,0.6959690824,0.6811797098,0.008264139387,0.3613757941,0.3670075029,8.886900415e-05
0.065,0.6913583059,0.6758456962,0.007879156662,0.3535234973,0.3572234801,9.779227849e-05
0.0675,0.6873483195,0.6707957098,0.006006469035,0.3460119131,0.3480981846,8.051268165e-05
0.07,0.6830477374,0.6659190965,0.007404303615,0.3394722255,0.3393475604,8.895183557e-05
0.0725,0.6790702854,0.661290777,0.006316675797,0.3330127919,0.3313650048,7.198189405e-05
0.075,0.6756870494,0.657166947,0.007919972401,0.3269750543,0.3238855552,9.032675499e-05
0.0775,0.6725210824,0.6530622637,0.008685927361,0.3215235749,0.316946439,9.006730811e-05
0.08,0.6694897987,0.6495450824,0.006665985204,0.3162030844,0.3105717289,9.922862548e-05
0.0825,0.6663168658,0.6457163195,0.008716023473,0.3114436423,0.3043679401,0.0001133174271
0.085,0.6632918123,0.64222226,0.00947397985,0.3067756121,0.2986828142,0.0001215400336
0.0875,0.6606355568,0.6391243195,0.006732824091,0.3025635578,0.293744347,8.05582497e-05
0.09,0.6577230494,0.6364120972,0.007587016377,0.2984132383,0.2888699444,9.098900915e-05
0.0925,0.6553769125,0.6338490824,0.007501478339,0.2949451697,0.2843646284,0.0001145370408
0.095,0.6530817987,0.6309043195,0.007688155615,0.2916987711,0.2799062332,9.48782372e-05
0.0975,0.6512148794,0.6279216033,0.007099268526,0.2886236778,0.2758538327,8.287200922e-05
0.1,0.6492490825,0.6256220643,0.008881784091,0.2856018753,0.2722589424,0.0001150070486
0.1025,0.6471899212,0.6231758123,0.006887453045,0.2827237625,0.2689760622,9.108188622e-05
0.105,0.6456096989,0.6210403196,0.007945307299,0.2801636089,0.2660560745,0.0001080821052
0.1075,0.6439623332,0.6193183662,0.008561169068,0.278024439,0.2632894157,0.000119055077
0.11,0.6428150961,0.6173610825,0.008367417681,0.2758656118,0.2603173999,0.000102622815
0.1125,0.6408590629,0.6152958123,0.007516887714,0.273637921,0.257761662,9.987299535e-05
0.115,0.6393359087,0.6135090825,0.007687089197,0.2716992904,0.2554451688,9.380719939e-05
0.1175,0.6381344827,0.6120784827,0.008023781953,0.2699883866,0.2532052656,0.0001097516737
0.12,0.6365844908,0.6102150961,0.007674305977,0.2684085867,0.2511485128,9.764868464e-05
0.1225,0.6356294589,0.6088613481,0.008132648451,0.2668409651,0.2492578136,0.000111610382
0.125,0.6343797279,0.607250111,0.008135615789,0.2653709382,0.2476747388,0.0001115766411
0.1275,0.6333949446,0.6061550961,0.007688348783,0.2641069623,0.2460984856,8.117705964e-05
0.13,0.6322923208,0.6048764908,0.008461044559,0.2627695648,0.2447207652,0.0001001963593
0.1325,0.6312325788,0.6039357074,0.008819134533,0.2616859901,0.2433200233,0.0001085418605
0.135,0.6303979791,0.6028964908,0.007603880227,0.2606759906,0.2420834186,8.90179131e-05
0.1375,0.6294888963,0.6022984772,0.009558564085,0.2597084634,0.2410075377,0.0001333884382
0.14,0.6286965788,0.6011209296,0.007886548838,0.2588390984,0.2399325438,0.0001093838413
0.1425,0.6281831853,0.5998205389,0.008578279963,0.258041026,0.2388176897,0.0001003871702
0.145,0.627114147,0.5990485788,0.008141532271,0.2572089771,0.2377771036,0.0001246270306
0.1475,0.6262494171,0.5982373417,0.008475280493,0.2564759721,0.236944871,0.0001166659299
0.15,0.6259061799,0.5976014171,0.008071165961,0.2558905058,0.236120088,0.0001104972918
0.1525,0.6254641663,0.59695401,0.009303949226,0.255310619,0.2353897887,0.0001186900509
0.155,0.6247314035,0.5962801663,0.007911386059,0.2547234243,0.2346866836,0.0001263753945
0.1575,0.6240794373,0.5957021799,0.009023918686,0.2541731053,0.2339969916,0.0001082908294
