Complexity,Loss,Equation
1,0.092441335,"-0.16392703"
3,0.083926424,"0.4712532 - x0"
4,0.07956547,"log(0.53897417 / x0)"
5,0.0018540715,"(x0 * -20.76484) - -13.024418"
6,0.0014799037,"(2.4556246 / log(x0)) + 5.2575417"
8,0.0014687305,"((x0 * 8.050879) + -5.045579) / log(x0)"
9,0.0014148232,"((x0 * (x0 - 1.0371821)) - -0.25725743) * -77.62629"
11,0.0013883224,"((((x0 - 1.1230094) * x0) - -0.31105468) * -77.609505) / x0"
12,0.0013863205,"(75.4033 / x0) * neg((x0 * (x0 - 1.1177315)) - -0.30774334)"
13,0.0013859414,"(((x0 - 1.1122577) * x0) - -0.30430922) * ((75.40331 / x0) / -1.0294768)"
14,0.0013753028,"((72.21584 / x0) / x0) * neg((x0 * (x0 - 1.172609)) - -0.3421487)"
17,0.0013086789,"(((((x0 * (x0 - 1.1802388)) - -0.3469166) / (x0 * 0.6981264)) / x0) / x0) * -36.089787"
18,0.0012900698,"((((x0 * (x0 - 1.1827524)) - -0.3484774) / (x0 * x0)) * 36.089813) / neg(x0 * x0)"
20,0.0012886188,"(((36.089813 / neg(x0 * x0)) + -0.26842654) * (((x0 - 1.1827524) * x0) - -0.3484774)) / (x0 * x0)"
21,0.000866642,"((((x0 * ((-0.21956234 - ((x0 + -1.1032052) * x0)) * 16.13237)) - 0.79961616) / 0.24874899) * -86.223206) * (x0 + -0.74554485)"
25,0.00082151644,"((0.7940482 - ((x0 * 16.129465) * (-0.22663684 - ((x0 + -1.1136454) * x0)))) / ((0.35543984 / ((x0 + -0.75894475) * -16.24)) - 0.07782737)) * -5.078176"
29,0.00082149066,"(-5.078176 - (-0.06943117 * -0.06943117)) * ((0.7940482 - ((x0 * 16.129465) * (-0.22663684 - ((-1.1136454 + x0) * x0)))) / ((0.35543984 / ((x0 + -0.75894475) * -16.24)) - 0.07782737))"
30,0.0008206009,"(-5.0782666 - (exp(x0) * -0.06924844)) * ((0.79406357 - (x0 * (16.129494 * (-0.22655448 - (x0 * (x0 + -1.1135174)))))) / ((0.3542202 / ((x0 + -0.75998545) * -16.240036)) - 0.07811953))"
