Complexity,Loss,Equation
1,0.09244135,"-0.16386628"
3,0.083926424,"0.4712534 - x0"
4,0.07956548,"log(0.5390217 / x0)"
5,0.001854071,"(x0 * -20.765211) + 13.024656"
7,0.0015756849,"x0 * ((x0 * -30.680182) - -19.237923)"
8,0.0015181164,"(x0 * (1.8719423 - exp(x0))) * 15.971906"
9,0.0013859494,"((-22.274063 / x0) + 81.42151) + (x0 * -73.21024)"
11,0.0013859196,"1.0027902 * (((-22.26617 / x0) + (-73.135574 * x0)) + 81.36215)"
14,0.0012956002,"(log(x0) * (((x0 * -27.382381) - -14.9734125) * 14.938337)) * (0.626461 - x0)"
16,0.0012564686,"(10.780271 * ((((x0 * -27.292967) - -15.114836) * (0.6266392 - x0)) * log(x0))) / x0"
18,0.0012404883,"(((log(x0) * (0.62640375 - x0)) * 1.0790908) / x0) * (((x0 * -27.193468) - -15.298888) * 10.7473135)"
26,0.0011968055,"((((exp(x0) * ((-27.100517 * x0) - -38.610897)) / x0) + ((6.993576 + (-46.02106 / x0)) - -1.8579965)) / ((x0 * x0) * x0)) / x0"
28,0.0010938912,"(((-8.951094 / x0) + (((((x0 * -8.860218) - -5.6552324) * exp(x0 / x0)) - -1.1183558) + 12.885233)) / ((x0 * (x0 * x0)) * x0)) / x0"
