Complexity,Loss,Equation
1,0.092441335,"-0.16392702"
3,0.083926424,"0.47126436 - x0"
4,0.07710071,"1.7490993 - exp(x0)"
5,0.0018540714,"(x0 * -20.76484) + 13.024417"
6,0.0017449468,"(exp(x0) * -10.820189) + 20.25881"
7,0.0015756862,"((-30.678732 * x0) + 19.23697) * x0"
8,0.0015181124,"x0 * ((exp(x0) * -15.971926) + 29.898521)"
9,0.0014471444,"((28.336765 - (x0 * 45.206886)) * x0) * x0"
11,0.0014416944,"(x0 * ((30.97005 - (x0 * 47.888165)) * x0)) - 0.37475547"
12,0.0014377361,"(((-11.758623 * exp(x0)) - -22.006271) * x0) * (x0 + x0)"
13,0.0014302974,"(((x0 * (1.4543575 - (x0 + x0))) * x0) * 31.580572) - 2.493115"
15,0.0013717996,"((-5.8603153 / x0) + (x0 * 23.14166)) * ((1.2532535 - (x0 + x0)) / x0)"
17,0.0013704662,"(((-6.530263 / x0) + ((x0 * 23.260067) + 0.91031086)) * (1.253166 - (x0 + x0))) / x0"
19,0.0013454763,"(((x0 * 26.74256) + -14.0945635) * (1.874928 - ((x0 * 1.9923146) + x0))) / ((x0 * x0) * 1.2627732)"
21,0.0013454646,"(-14.0945635 + (x0 * 26.74256)) * ((1.874928 - ((1.9923146 * x0) + x0)) / (((x0 * x0) * 1.2627732) - 0.00024372735))"
22,0.00077888736,"((((1.2543441 / (exp(x0 + 1.7128515) - (6.393274 / x0))) + -7.997262) * (1.2537595 - (x0 + x0))) / x0) * -1.0014224"
24,0.00072529976,"((-1.0014224 * ((1.2537595 - (x0 + x0)) / x0)) * (-7.997262 + (1.4204276 / (exp(x0 + 1.7128515) - (6.393274 / x0))))) + -0.007052342"
26,0.00070453883,"(((1.2539037 - (x0 + x0)) * ((1.5405606 / ((exp(x0 + 1.5558616) - (5.4292655 / x0)) * x0)) + -12.578484)) / (x0 * -1.5095022)) - 0.009770836"
30,0.0007031568,"((((1.8608887 / ((exp(x0 + 1.5558357) - (5.4292474 / x0)) * 0.7627561)) + -12.578487) * (1.2534022 - (x0 + x0))) * ((x0 / x0) / (x0 * -1.5094774))) - 0.009771678"
