Complexity,Loss,Equation
1,0.092441335,"-0.16392702"
3,0.083926424,"0.4712532 - x0"
4,0.07645066,"1.7236024 - exp(x0)"
5,0.001854071,"13.025227 - (x0 * 20.766119)"
7,0.0015756844,"(19.237438 - (x0 * 30.679407)) * x0"
9,0.0014381947,"(x0 + -0.62682223) * ((x0 * -59.75092) - -19.728882)"
10,0.0014380526,"((x0 * -67.99073) - -42.58839) * log(x0 + x0)"
11,0.001416132,"((x0 * 115.213) - 48.907383) * ((x0 + -0.62661976) / -1.4073422)"
12,0.0013705076,"(((x0 * -46.332367) + 29.035212) / x0) * (log(x0) + 0.6929285)"
14,0.001370505,"(((x0 * -46.333637) + 29.03602) / x0) * log((x0 * 0.9995363) + x0)"
15,0.0013075,"((x0 * 120.55096) - 75.54236) * (((x0 + log(x0)) * log(x0)) - 0.060501907)"
17,0.0012211755,"(((x0 * 116.28208) - 72.84716) * 1.0841761) * ((log(x0) * (x0 + log(x0))) / x0)"
19,0.0011691331,"((log(x0 / 0.54220873) * (log(x0) * 2.5950756)) - -0.09089156) * (((x0 * 105.43078) - 66.03467) / x0)"
21,0.0010555869,"((((x0 * 105.43606) - 66.02544) * (((log(x0) * log(x0 / 0.52887076)) * 2.5718496) - -0.1564433)) / x0) / x0"
23,0.000983492,"((x0 * 105.445984) - 66.00925) * (((((log(x0 / 0.5061428) * log(x0)) * 2.556359) - -0.22406076) / x0) / (x0 * 0.7224018))"
25,0.00092163775,"(((x0 * 105.42431) - 66.04267) * ((((log(x0) * 2.4854705) * log((x0 / 0.89467895) / 0.5281142)) - -0.30659553) / 0.25974527)) / (x0 - -0.11969045)"
26,0.0008234601,"((log(x0) * (log(x0 + x0) * (-3.4573314 - (1.537353 / x0)))) - 0.6206025) * neg(((x0 * 145.95691) - 89.93252) / (x0 * x0))"
30,0.0008212747,"(((x0 / x0) / neg(x0)) * (((-3.4956532 - (1.5344542 / x0)) * (log(x0 + x0) * log(x0))) - 0.6243526)) * (((x0 * 145.94962) - 89.9458) / x0)"
