Complexity,Loss,Equation
1,0.092441335,"-0.16391262"
3,0.083926424,"0.4712762 - x0"
4,0.079565465,"log(0.5390036 / x0)"
5,0.0018540703,"(x0 * -20.764858) - -13.02443"
6,0.0017449482,"(exp(x0) * -10.819294) + 20.257118"
7,0.0015756853,"(19.23744 - (x0 * 30.679413)) * x0"
8,0.0015756852,"(-19.237442 - (x0 * -30.679413)) * neg(x0)"
9,0.0014344705,"(x0 * ((x0 * -61.232548) - -59.120712)) + -12.999813"
11,0.0014148508,"((((x0 * 0.56830925) + -0.5901056) * x0) - -0.14661974) * -137.18991"
12,0.0014029485,"(log(x0 * x0) * ((x0 * -39.45023) - -7.954435)) + -15.672816"
13,0.0013878699,"(((x0 * ((x0 * -5.3736978) + 5.9341884)) - 1.6084435) * 13.089462) / x0"
15,0.001345447,"(((((x0 * 0.7270298) + -0.83959913) * x0) - -0.24064255) / (x0 * x0)) * -87.8192"
16,0.0013453673,"(((((x0 * 0.7270701) + -0.83958864) * x0) - -0.2406206) * 87.8192) / (x0 * neg(x0))"
17,0.0012980893,"((((x0 * -8.532441) + 10.112799) * x0) - 2.986707) * ((6.388421 / x0) / (x0 * x0))"
18,0.0012948108,"(((-8.165116 / x0) / x0) * (((7.4394197 + (x0 * -6.312534)) * x0) - 2.183095)) / neg(x0)"
19,0.001294175,"(((((x0 * -6.305446) + 7.4431763) * x0) - 2.188244) / ((x0 * x0) * -0.98322743)) * (-8.164436 / x0)"
21,0.0012683247,"(((((x0 * ((x0 * -8.513143) + 10.12486)) - 3.0018232) / x0) * (x0 - (2.7724726 / x0))) / x0) * -2.8687432"
22,0.0012339021,"(((((x0 * ((x0 * -6.2539573) + 7.4876695)) - 2.2363503) * (-8.178367 / x0)) / x0) * 0.80496454) / neg(x0 * x0)"
23,0.0011662013,"(((((x0 * ((x0 * -6.2012863) + 7.5073924)) - 2.2694066) / x0) * 8.162135) * ((0.63175595 / x0) / (x0 * x0))) / x0"
25,0.0011295499,"(((x0 * ((x0 * -6.1971126) + 7.5170774)) - 2.2771127) * ((-8.211384 / x0) * (((1.1337901 / x0) - x0) / (x0 * -0.7076034)))) / x0"
26,0.0010938984,"((0.47798088 / (x0 * x0)) * (((((x0 * ((x0 * -6.169113) + 7.524424)) - 2.292715) * (-8.163194 / x0)) / x0) / x0)) / neg(x0)"
27,0.00095115596,"((((((((((x0 * -6.1063786) + 7.5253453) * x0) - 2.317917) / x0) / x0) * (2.1575785 / x0)) / x0) / x0) / (x0 * x0)) / x0"
29,0.0009479803,"(-8.1652565 / x0) * ((((-0.26278782 / x0) * ((((((x0 * -6.1263433) + 7.551234) * x0) - 2.3263147) / x0) / x0)) / x0) / (x0 * (x0 * x0)))"
