t_s,T20_C,T30_C
0.000000000000000000e+00,2.000000000000000000e+01,3.000000000000000000e+01
1.000000000000000000e+00,1.999269992649179173e+01,2.998823904958054243e+01
2.000000000000000000e+00,1.996484956417482692e+01,2.994406920450917653e+01
3.000000000000000000e+00,1.992260549695824068e+01,2.987827145856197575e+01
4.000000000000000000e+00,1.988189956124404034e+01,2.981561021691773306e+01
5.000000000000000000e+00,1.984226036169150120e+01,2.975455560917577458e+01
6.000000000000000000e+00,1.980323446752602123e+01,2.969467174231806439e+01
7.000000000000000000e+00,1.976647551139321024e+01,2.963834997571346008e+01
8.000000000000000000e+00,1.973056362106347805e+01,2.958334624699970306e+01
9.000000000000000000e+00,1.969637857250468471e+01,2.953109119602917687e+01
1.000000000000000000e+01,1.966325077301602064e+01,2.948043256100261189e+01
1.100000000000000000e+01,1.963134096613863733e+01,2.943171173862758749e+01
1.200000000000000000e+01,1.960051380560222611e+01,2.938463315287342681e+01
1.300000000000000000e+01,1.957059578067150341e+01,2.933898491380825391e+01
1.400000000000000000e+01,1.954167370917753033e+01,2.929486041420777198e+01
1.500000000000000000e+01,1.951348929441740765e+01,2.925187900301949995e+01
1.600000000000000000e+01,1.948617295155744955e+01,2.921023507540062525e+01
1.700000000000000000e+01,1.945949562365749230e+01,2.916956884129201200e+01
1.800000000000000000e+01,1.943355673767652902e+01,2.913004521071202646e+01
1.900000000000000000e+01,1.940819200033189418e+01,2.909139309217716729e+01
2.000000000000000000e+01,1.938345108558532814e+01,2.905370741712618354e+01
2.100000000000000000e+01,1.935923344813718927e+01,2.901681306407197880e+01
2.200000000000000000e+01,1.933554455803609784e+01,2.898073659999832685e+01
2.300000000000000000e+01,1.931233336585747651e+01,2.894538175900157029e+01
2.400000000000000000e+01,1.928957437277171749e+01,2.891072376331809579e+01
2.500000000000000000e+01,1.926724968122464787e+01,2.887672203854051745e+01
2.600000000000000000e+01,1.924531615668587037e+01,2.884331992559435065e+01
2.700000000000000000e+01,1.922377512247395259e+01,2.881051137904653814e+01
2.800000000000000000e+01,1.920257641958343342e+01,2.877822441481858817e+01
2.900000000000000000e+01,1.918173031879837964e+01,2.874647109152786584e+01
3.000000000000000000e+01,1.916118697195760845e+01,2.871517621453829250e+01
3.100000000000000000e+01,1.914095879996240512e+01,2.868435851003935610e+01
3.200000000000000000e+01,1.912100071149414049e+01,2.865394742505913683e+01
3.300000000000000000e+01,1.910132326989071316e+01,2.862396115851523248e+01
3.400000000000000000e+01,1.908188837340619415e+01,2.859433820154614381e+01
3.500000000000000000e+01,1.906270274508323936e+01,2.856509225593508461e+01
3.600000000000000000e+01,1.904373596621371689e+01,2.853617273939375565e+01
3.700000000000000000e+01,1.902499029219182347e+01,2.850758714821916229e+01
3.800000000000000000e+01,1.900644270313088313e+01,2.847929601802179178e+01
3.900000000000000000e+01,1.898809119176560856e+01,2.845130040082544198e+01
4.000000000000000000e+01,1.896991929945518152e+01,2.842357110761830441e+01
4.100000000000000000e+01,1.895192141435945743e+01,2.839610337792156969e+01
4.200000000000000000e+01,1.893408654677385883e+01,2.836887690485393065e+01
4.300000000000000000e+01,1.891640633291619977e+01,2.834188219197239533e+01
4.400000000000000000e+01,1.889887410179563787e+01,2.831510620409699541e+01
4.500000000000000000e+01,1.888147961944714126e+01,2.828853594432067808e+01
4.600000000000000000e+01,1.886421944565880082e+01,2.826216403747990213e+01
4.700000000000000000e+01,1.884708228956727893e+01,2.823597520083994539e+01
4.800000000000000000e+01,1.883006698169332793e+01,2.820996623508380807e+01
4.900000000000000000e+01,1.881316186856621897e+01,2.818412066198568411e+01
5.000000000000000000e+01,1.879636724784301549e+01,2.815843816864711968e+01
5.100000000000000000e+01,1.877967165939612570e+01,2.813290199664243119e+01
5.200000000000000000e+01,1.876307622561156307e+01,2.810751365056667339e+01
5.300000000000000000e+01,1.874657009748460368e+01,2.808225681598450052e+01
5.400000000000000000e+01,1.873015473135354370e+01,2.805713396584942032e+01
5.500000000000000000e+01,1.871382018041348516e+01,2.803212976830933911e+01
5.600000000000000000e+01,1.869756787855882862e+01,2.800724701892008994e+01
5.700000000000000000e+01,1.868138896273572769e+01,2.798247173921545183e+01
5.800000000000000000e+01,1.866528460184323635e+01,2.795780658033562105e+01
5.900000000000000000e+01,1.864924710784023887e+01,2.793323914402698094e+01
6.000000000000000000e+01,1.863327723490812815e+01,2.790877162085156016e+01
6.100000000000000000e+01,1.861736849001732352e+01,2.788439330131812710e+01
6.200000000000000000e+01,1.860152113592158329e+01,2.786010572215569780e+01
6.300000000000000000e+01,1.858572984084925395e+01,2.783589987793250486e+01
6.400000000000000000e+01,1.856999435471494664e+01,2.781177655508097857e+01
6.500000000000000000e+01,1.855431043483190834e+01,2.778772839715147569e+01
6.600000000000000000e+01,1.853867733694527686e+01,2.776375541733613161e+01
6.700000000000000000e+01,1.852309180977697878e+01,2.773985180271203888e+01
6.800000000000000000e+01,1.850755266099957907e+01,2.771601682381043474e+01
6.900000000000000000e+01,1.849205751808569076e+01,2.769224607226429669e+01
7.000000000000000000e+01,1.847660480394046090e+01,2.766853814337330775e+01
7.100000000000000000e+01,1.846119290544682912e+01,2.764488987461901814e+01
7.200000000000000000e+01,1.844581993323698299e+01,2.762129927682434172e+01
7.300000000000000000e+01,1.843048491391077093e+01,2.759776426579850650e+01
7.400000000000000000e+01,1.841518572140749654e+01,2.757428237128892334e+01
7.500000000000000000e+01,1.839992190663810234e+01,2.755085241948108177e+01
7.600000000000000000e+01,1.838469118103216715e+01,2.752747156690375263e+01
7.700000000000000000e+01,1.836949351192703261e+01,2.750413938793577628e+01
7.800000000000000000e+01,1.835432651788314828e+01,2.748085277212283373e+01
7.900000000000000000e+01,1.833919048439090815e+01,2.745761188999123803e+01
8.000000000000000000e+01,1.832408300017324265e+01,2.743441346439682960e+01
8.100000000000000000e+01,1.830900458139541698e+01,2.741125812297520525e+01
8.200000000000000000e+01,1.829395284214858819e+01,2.738814251335066174e+01
8.300000000000000000e+01,1.827892845307365377e+01,2.736506759591103943e+01
8.400000000000000000e+01,1.826392910044735984e+01,2.734203002391381077e+01
8.500000000000000000e+01,1.824895554442442958e+01,2.731903098156382015e+01
8.600000000000000000e+01,1.823400558182224529e+01,2.729606719714765362e+01
8.700000000000000000e+01,1.821908000816339523e+01,2.727313998520431326e+01
8.800000000000000000e+01,1.820417676097900639e+01,2.725024620676944664e+01
8.900000000000000000e+01,1.818929662714471718e+01,2.722738722819718049e+01
9.000000000000000000e+01,1.817443770742048770e+01,2.720456008960086081e+01
9.100000000000000000e+01,1.815960074529979806e+01,2.718176614473821218e+01
9.200000000000000000e+01,1.814478402030910331e+01,2.715900264836883338e+01
9.300000000000000000e+01,1.812998820615706563e+01,2.713627089025232664e+01
9.400000000000000000e+01,1.811521177046734365e+01,2.711356836546413973e+01
9.500000000000000000e+01,1.810045529810944132e+01,2.709089626013394891e+01
9.600000000000000000e+01,1.808571744873473719e+01,2.706825232642269441e+01
9.700000000000000000e+01,1.807099870568723077e+01,2.704563761766005214e+01
9.800000000000000000e+01,1.805629791998356737e+01,2.702305015203072003e+01
9.900000000000000000e+01,1.804161546617741152e+01,2.700049083003936801e+01
1.000000000000000000e+02,1.802695038217333234e+01,2.697795793808284515e+01
1.010000000000000000e+02,1.801230293100108071e+01,2.695545221167782657e+01
1.020000000000000000e+02,1.799767232989187349e+01,2.693297220192884112e+01
1.030000000000000000e+02,1.798305873132699517e+01,2.691051847384454732e+01
1.040000000000000000e+02,1.796846152189091939e+01,2.688808983504442907e+01
1.050000000000000000e+02,1.795388074745583751e+01,2.686568668001571325e+01
1.060000000000000000e+02,1.793931595217884833e+01,2.684330806094554589e+01
1.070000000000000000e+02,1.792476708156082665e+01,2.682095420625445570e+01
1.080000000000000000e+02,1.791023382428023325e+01,2.679862439784552208e+01
1.090000000000000000e+02,1.789571603341688188e+01,2.677631870605810605e+01
1.100000000000000000e+02,1.788121352831543831e+01,2.675403662551826756e+01
1.110000000000000000e+02,1.786672607878953656e+01,2.673177807916837168e+01
1.120000000000000000e+02,1.785225362059125231e+01,2.670954275589520321e+01
1.130000000000000000e+02,1.783779585019241054e+01,2.668733044389701092e+01
1.140000000000000000e+02,1.782335280542717726e+01,2.666514100697382261e+01
1.150000000000000000e+02,1.780892411975295886e+01,2.664297411257027193e+01
1.160000000000000000e+02,1.779450991897240186e+01,2.662082977966548825e+01
1.170000000000000000e+02,1.778010978395512964e+01,2.659870756973952766e+01
1.180000000000000000e+02,1.776572391479554014e+01,2.657660763725019848e+01
1.190000000000000000e+02,1.775135185005350991e+01,2.655452945284718425e+01
1.200000000000000000e+02,1.773699385105255288e+01,2.653247328714565612e+01
1.210000000000000000e+02,1.772264942397523768e+01,2.651043853506955372e+01
1.220000000000000000e+02,1.770831887906022217e+01,2.648842556472865795e+01
