t_s,T20_C,T30_C
0.000000000000000000e+00,2.000000000000000000e+01,3.000000000000000000e+01
1.000000000000000000e+00,1.998334343944268099e+01,2.989643646004267907e+01
2.000000000000000000e+00,1.993147955436467100e+01,2.964355542354720896e+01
3.000000000000000000e+00,1.986923977295850818e+01,2.941314622750353180e+01
4.000000000000000000e+00,1.981621937022716651e+01,2.922345140559946230e+01
5.000000000000000000e+00,1.976354234288041667e+01,2.903112482121533233e+01
6.000000000000000000e+00,1.971484617251719840e+01,2.886626328187778867e+01
7.000000000000000000e+00,1.966906164326935880e+01,2.870390443672661007e+01
8.000000000000000000e+00,1.962508136861801589e+01,2.855603723536494343e+01
9.000000000000000000e+00,1.958397422327487902e+01,2.841425374732789422e+01
1.000000000000000000e+01,1.954405475110726798e+01,2.827996371378435470e+01
1.100000000000000000e+01,1.950640207007643667e+01,2.815279754100984277e+01
1.200000000000000000e+01,1.946980264493049972e+01,2.802977874277927128e+01
1.300000000000000000e+01,1.943488250161370701e+01,2.791355290492275643e+01
1.400000000000000000e+01,1.940098302591433921e+01,2.780000645291923078e+01
1.500000000000000000e+01,1.936832046758450687e+01,2.769237170859783248e+01
1.600000000000000000e+01,1.933663888178647738e+01,2.758684382573938265e+01
1.700000000000000000e+01,1.930589064614838790e+01,2.748622399478203704e+01
1.800000000000000000e+01,1.927605796570174945e+01,2.738753042995587705e+01
1.900000000000000000e+01,1.924695847034510265e+01,2.729281198407087317e+01
2.000000000000000000e+01,1.921869021262136101e+01,2.719998484357831003e+01
2.100000000000000000e+01,1.919102446546164842e+01,2.711034147031202934e+01
2.200000000000000000e+01,1.916409751160687236e+01,2.702258663396840888e+01
2.300000000000000000e+01,1.913768638278988377e+01,2.693737789817834383e+01
2.400000000000000000e+01,1.911192207570682911e+01,2.685404047349294743e+01
2.500000000000000000e+01,1.908661358078202852e+01,2.677275174066073404e+01
2.600000000000000000e+01,1.906186585922328902e+01,2.669328834862336919e+01
2.700000000000000000e+01,1.903752955267373892e+01,2.661549412305660312e+01
2.800000000000000000e+01,1.901367673032816441e+01,2.653945089908436117e+01
2.900000000000000000e+01,1.899019981688369541e+01,2.646479171417460208e+01
3.000000000000000000e+01,1.896713887950199506e+01,2.639178694854800256e+01
3.100000000000000000e+01,1.894442334093677260e+01,2.631995426147872053e+01
3.200000000000000000e+01,1.892206594695507960e+01,2.624966472342473622e+01
3.300000000000000000e+01,1.890002631228782803e+01,2.618039064128130278e+01
3.400000000000000000e+01,1.887829593728382349e+01,2.611254078933670897e+01
3.500000000000000000e+01,1.885685748896150571e+01,2.604559078289893748e+01
3.600000000000000000e+01,1.883568733898684044e+01,2.597994422211455756e+01
3.700000000000000000e+01,1.881478463300222970e+01,2.591511173935604617e+01
3.800000000000000000e+01,1.879411607872328105e+01,2.585146442425543611e+01
3.900000000000000000e+01,1.877369170259259690e+01,2.578856675116822217e+01
4.000000000000000000e+01,1.875347307095919192e+01,2.572674154669861579e+01
4.100000000000000000e+01,1.873347658923314896e+01,2.566561651727507254e+01
4.200000000000000000e+01,1.871366220519589874e+01,2.560545881944479163e+01
4.300000000000000000e+01,1.869404925722280808e+01,2.554596212677784450e+01
4.400000000000000000e+01,1.867459866444381689e+01,2.548733631386226151e+01
4.500000000000000000e+01,1.865533018832276468e+01,2.542933926404896638e+01
4.600000000000000000e+01,1.863620750150915839e+01,2.537212580218012192e+01
4.700000000000000000e+01,1.861724906412298353e+01,2.531551340702537445e+01
4.800000000000000000e+01,1.859842242100180698e+01,2.525960647429426942e+01
4.900000000000000000e+01,1.857974363807946361e+01,2.520427581217596114e+01
5.000000000000000000e+01,1.856118472905103545e+01,2.514958133604272206e+01
5.100000000000000000e+01,1.854275876212944141e+01,2.509544013115211669e+01
5.200000000000000000e+01,1.852444242218622605e+01,2.504187415731991351e+01
5.300000000000000000e+01,1.850624554154327228e+01,2.498883954080956116e+01
5.400000000000000000e+01,1.848814939335612806e+01,2.493632686956251376e+01
5.500000000000000000e+01,1.847016059771421581e+01,2.488432429486049813e+01
5.600000000000000000e+01,1.845226473765897879e+01,2.483279733455356819e+01
5.700000000000000000e+01,1.843446542285175482e+01,2.478175962499931018e+01
5.800000000000000000e+01,1.841675214368851243e+01,2.473115742292141306e+01
5.900000000000000000e+01,1.839912581363253707e+01,2.468102393400902272e+01
6.000000000000000000e+01,1.838157935888299477e+01,2.463129135299725192e+01
6.100000000000000000e+01,1.836411137315726094e+01,2.458200723451038172e+01
6.200000000000000000e+01,1.834671771916617899e+01,2.453309425002813526e+01
6.300000000000000000e+01,1.832939507231197851e+01,2.448460979561725637e+01
6.400000000000000000e+01,1.831214173465839679e+01,2.443647089296238661e+01
6.500000000000000000e+01,1.829495286300025114e+01,2.438874096648491374e+01
6.600000000000000000e+01,1.827782872443213691e+01,2.434133462168025730e+01
6.700000000000000000e+01,1.826076333680637021e+01,2.429431815105463954e+01
6.800000000000000000e+01,1.824375849426492380e+01,2.424760638204341490e+01
6.900000000000000000e+01,1.822680742354195260e+01,2.420126591255010240e+01
7.000000000000000000e+01,1.820991305215330769e+01,2.415521388975079731e+01
7.100000000000000000e+01,1.819306812486830793e+01,2.410951518971257101e+01
7.200000000000000000e+01,1.817627635703575706e+01,2.406409089693049808e+01
7.300000000000000000e+01,1.815953027880749104e+01,2.401900260956044875e+01
7.400000000000000000e+01,1.814283409675282144e+01,2.397417654780900165e+01
7.500000000000000000e+01,1.812618035148467399e+01,2.392966988375690107e+01
7.600000000000000000e+01,1.810957349176997155e+01,2.388541481179608539e+01
7.700000000000000000e+01,1.809300625289625231e+01,2.384146327757139616e+01
7.800000000000000000e+01,1.807648312161850512e+01,2.379775398398734865e+01
7.900000000000000000e+01,1.805999717388979064e+01,2.375433314200574131e+01
8.000000000000000000e+01,1.804355277138033387e+01,2.371114624448366115e+01
