t,Ti_20C,Ti_40C,Ti_60C,Ti_80C
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,-2.583141421362995516e-01,-5.166282842725991031e-01,-7.749424264089341818e-01,-1.033256568545198206e+00
1.000000000000000000e+00,-2.437432228205871354e-01,-4.874864456411742708e-01,-7.312296684617507481e-01,-9.749728912823485416e-01
1.500000000000000000e+00,-3.645208127747459059e-01,-7.290416255494918119e-01,-1.093562438324326536e+00,-1.458083251098983624e+00
2.000000000000000000e+00,-3.506667534941279030e-01,-7.013335069882558059e-01,-1.052000260482451210e+00,-1.402667013976511612e+00
2.500000000000000000e+00,-4.366155729092504600e-01,-8.732311458185009201e-01,-1.309846718727918358e+00,-1.746462291637001840e+00
3.000000000000000000e+00,-4.230546959570027354e-01,-8.461093919140054709e-01,-1.269164087871203606e+00,-1.692218783828010942e+00
3.500000000000000000e+00,-4.914435098892866449e-01,-9.828870197785732898e-01,-1.474330529668094414e+00,-1.965774039557146580e+00
4.000000000000000000e+00,-4.782052396193421373e-01,-9.564104792386842746e-01,-1.434615718858296418e+00,-1.912820958477368549e+00
4.500000000000000000e+00,-5.356218939837447124e-01,-1.071243787967489425e+00,-1.606865681951461511e+00,-2.142487575934978850e+00
5.000000000000000000e+00,-5.227232596885755811e-01,-1.045446519377151162e+00,-1.568169779066018066e+00,-2.090893038754302324e+00
5.500000000000000000e+00,-5.724561993490198120e-01,-1.144912398698039624e+00,-1.717368598047301020e+00,-2.289824797396079248e+00
6.000000000000000000e+00,-5.598581855980135913e-01,-1.119716371196027183e+00,-1.679574556794300122e+00,-2.239432742392054365e+00
6.500000000000000000e+00,-6.037736757968872325e-01,-1.207547351593774465e+00,-1.811321027391002758e+00,-2.415094703187548930e+00
7.000000000000000000e+00,-5.913814969634145768e-01,-1.182762993926829154e+00,-1.774144490890478210e+00,-2.365525987853658307e+00
7.500000000000000000e+00,-6.306150828521275287e-01,-1.261230165704255057e+00,-1.891845248556677461e+00,-2.522460331408510115e+00
8.000000000000000000e+00,-6.182983781611319785e-01,-1.236596756322263957e+00,-1.854895134483655283e+00,-2.473193512644527914e+00
8.500000000000000000e+00,-6.535769896041934146e-01,-1.307153979208386829e+00,-1.960730968812910646e+00,-2.614307958416773658e+00
9.000000000000000000e+00,-6.411943577764702695e-01,-1.282388715552940539e+00,-1.923583073329723447e+00,-2.564777431105881078e+00
9.500000000000000000e+00,-6.730077087790888868e-01,-1.346015417558177774e+00,-2.019023126337522456e+00,-2.692030835116355547e+00
1.000000000000000000e+01,-6.604252835114259312e-01,-1.320850567022851862e+00,-1.981275850534522931e+00,-2.641701134045703725e+00
1.050000000000000000e+01,-6.891225693636933158e-01,-1.378245138727386632e+00,-2.067367708091197187e+00,-2.756490277454773263e+00
1.100000000000000000e+01,-6.762245772249251274e-01,-1.352449154449850255e+00,-2.028673731674864200e+00,-2.704898308899700510e+00
1.150000000000000000e+01,-7.020702709658870333e-01,-1.404140541931774067e+00,-2.106210812897643336e+00,-2.808281083863548133e+00
1.200000000000000000e+01,-6.887632636438354439e-01,-1.377526527287670888e+00,-2.066289790931456594e+00,-2.755053054575341775e+00
1.250000000000000000e+01,-7.119695980209854724e-01,-1.423939196041970945e+00,-2.135908794062856941e+00,-2.847878392083941890e+00
1.300000000000000000e+01,-6.981827021127990918e-01,-1.396365404225598184e+00,-2.094548106338272930e+00,-2.792730808451196367e+00
1.350000000000000000e+01,-7.189286766062252809e-01,-1.437857353212450562e+00,-2.156786029818640316e+00,-2.875714706424901124e+00
1.400000000000000000e+01,-7.046117350608440688e-01,-1.409223470121688138e+00,-2.113835205182553523e+00,-2.818446940243376275e+00
1.450000000000000000e+01,-7.230543098838104754e-01,-1.446108619767620951e+00,-2.169162929651413663e+00,-2.892217239535241902e+00
1.500000000000000000e+01,-7.081751458750282779e-01,-1.416350291750056556e+00,-2.124525437625095492e+00,-2.832700583500113112e+00
1.550000000000000000e+01,-7.244559100022378573e-01,-1.448911820004475715e+00,-2.173367730006901866e+00,-2.897823640008951429e+00
1.600000000000000000e+01,-7.089974263037355229e-01,-1.417994852607471046e+00,-2.126992278911295386e+00,-2.835989705214942092e+00
1.650000000000000000e+01,-7.232466481677377601e-01,-1.446493296335475520e+00,-2.169739944503348283e+00,-2.892986592670951040e+00
1.700000000000000000e+01,-7.072041257158367955e-01,-1.414408251431673591e+00,-2.121612377147556572e+00,-2.828816502863347182e+00
1.750000000000000000e+01,-7.195432893367978977e-01,-1.439086578673595795e+00,-2.158629868010450537e+00,-2.878173157347191591e+00
1.800000000000000000e+01,-7.029220353803431465e-01,-1.405844070760686293e+00,-2.108766106140969043e+00,-2.811688141521372586e+00
1.850000000000000000e+01,-7.134654936532278668e-01,-1.426930987306455734e+00,-2.140396480959658732e+00,-2.853861974612911467e+00
1.900000000000000000e+01,-6.962788705553428770e-01,-1.392557741110685754e+00,-2.088836611665954024e+00,-2.785115482221371508e+00
1.950000000000000000e+01,-7.051349738367491682e-01,-1.410269947673498336e+00,-2.115404921510304348e+00,-2.820539895346996673e+00
2.000000000000000000e+01,-6.874027799454651699e-01,-1.374805559890930340e+00,-2.062208339836416826e+00,-2.749611119781860680e+00
2.050000000000000000e+01,-6.946746811495891905e-01,-1.389349362299178381e+00,-2.084024043448877705e+00,-2.778698724598356762e+00
2.100000000000000000e+01,-6.764218310230170061e-01,-1.352843662046034012e+00,-2.029265493069217996e+00,-2.705687324092068025e+00
2.150000000000000000e+01,-6.822080800531296063e-01,-1.364416160106259213e+00,-2.046624240159594876e+00,-2.728832320212518425e+00
2.200000000000000000e+01,-6.634635268189761348e-01,-1.326927053637952270e+00,-1.990390580457010117e+00,-2.653854107275904539e+00
2.250000000000000000e+01,-6.678585185435998994e-01,-1.335717037087199799e+00,-2.003575555630987992e+00,-2.671434074174399598e+00
2.300000000000000000e+01,-6.486543663624715350e-01,-1.297308732724943070e+00,-1.945963099087713033e+00,-2.594617465449886140e+00
2.350000000000000000e+01,-6.517486803206331558e-01,-1.303497360641266312e+00,-1.955246040962229870e+00,-2.606994721282532623e+00
2.400000000000000000e+01,-6.321194439452035851e-01,-1.264238887890407170e+00,-1.896358331835969580e+00,-2.528477775780814341e+00
2.450000000000000000e+01,-6.340001003882491659e-01,-1.268000200776498332e+00,-1.902000301165202245e+00,-2.536000401552996664e+00
2.500000000000000000e+01,-6.139820784269929277e-01,-1.227964156853985855e+00,-1.841946235281177735e+00,-2.455928313707971711e+00
2.550000000000000000e+01,-6.147327283100771922e-01,-1.229465456620154384e+00,-1.844198184930604612e+00,-2.458930913240308769e+00
2.600000000000000000e+01,-5.943634654358724845e-01,-1.188726930871744969e+00,-1.783090396307962067e+00,-2.377453861743489938e+00
2.650000000000000000e+01,-5.940645282627841084e-01,-1.188129056525568217e+00,-1.782193584788686280e+00,-2.376258113051136434e+00
2.700000000000000000e+01,-5.733823486331637298e-01,-1.146764697266327460e+00,-1.720147045899786065e+00,-2.293529394532654919e+00
2.750000000000000000e+01,-5.721111098637585712e-01,-1.144222219727517142e+00,-1.716333329591414270e+00,-2.288444439455034285e+00
2.800000000000000000e+01,-5.511547093626489868e-01,-1.102309418725297974e+00,-1.653464128088081964e+00,-2.204618837450595947e+00
2.850000000000000000e+01,-5.489853875186909704e-01,-1.097970775037381941e+00,-1.646956162556236336e+00,-2.195941550074763882e+00
2.900000000000000000e+01,-5.277934762727447549e-01,-1.055586952545489510e+00,-1.583380428818330188e+00,-2.111173905090979019e+00
2.950000000000000000e+01,-5.247972685167354712e-01,-1.049594537033470942e+00,-1.574391805550412471e+00,-2.099189074066941885e+00
3.000000000000000000e+01,-5.034082577578438134e-01,-1.006816515515687627e+00,-1.510224773273712628e+00,-2.013633031031375253e+00
3.050000000000000000e+01,-4.996533714192104014e-01,-9.993067428384208029e-01,-1.498960114257954501e+00,-1.998613485676841606e+00
3.100000000000000000e+01,-4.781051004578067420e-01,-9.562102009156134841e-01,-1.434315301373828788e+00,-1.912420401831226968e+00
3.150000000000000000e+01,-4.736567767141295349e-01,-9.473135534282590697e-01,-1.420970330142893090e+00,-1.894627106856518139e+00
3.200000000000000000e+01,-4.519862768122457908e-01,-9.039725536244915816e-01,-1.355958830436989615e+00,-1.807945107248983163e+00
3.250000000000000000e+01,-4.469068115160403920e-01,-8.938136230320807840e-01,-1.340720434548515527e+00,-1.787627246064161568e+00
3.300000000000000000e+01,-4.251501040198384374e-01,-8.503002080396768747e-01,-1.275450312059696500e+00,-1.700600416079353749e+00
3.350000000000000000e+01,-4.194988695308055071e-01,-8.389977390616110142e-01,-1.258496608592679422e+00,-1.677995478123222028e+00
3.400000000000000000e+01,-3.976907959048823216e-01,-7.953815918097646431e-01,-1.193072387714735783e+00,-1.590763183619529286e+00
3.450000000000000000e+01,-3.915242667693732415e-01,-7.830485335387464829e-01,-1.174572800308318676e+00,-1.566097067077492966e+00
3.500000000000000000e+01,-3.696983482861675441e-01,-7.393966965723350881e-01,-1.109095044858513290e+00,-1.478793393144670176e+00
3.550000000000000000e+01,-3.630701327193541772e-01,-7.261402654387083544e-01,-1.089210398158300563e+00,-1.452280530877416709e+00
3.600000000000000000e+01,-3.412584575802384279e-01,-6.825169151604768558e-01,-1.023775372740807654e+00,-1.365033830320953712e+00
3.650000000000000000e+01,-3.342193359585614587e-01,-6.684386719171229174e-01,-1.002658007875858459e+00,-1.336877343834245835e+00
3.700000000000000000e+01,-3.124524716145877790e-01,-6.249049432291755579e-01,-9.373574148439729470e-01,-1.249809886458351116e+00
3.750000000000000000e+01,-3.050504425736093594e-01,-6.101008851472187189e-01,-9.151513277210980846e-01,-1.220201770294437438e+00
