t,Ti_20C,Ti_40C,Ti_60C,Ti_80C
0.000000000000000000e+00,2.000000000000000000e+01,4.000000000000000000e+01,6.000000000000000000e+01,8.000000000000000000e+01
5.000000000000000000e-01,1.999748006016219293e+01,3.999496012032438585e+01,5.999244018048648286e+01,7.998992024064877171e+01
1.000000000000000000e+00,1.998669167369320832e+01,3.997338334738641663e+01,5.996007502107950415e+01,7.994676669477283326e+01
1.500000000000000000e+00,1.996800769656904606e+01,3.993601539313809212e+01,5.990402308970710266e+01,7.987203078627618424e+01
2.000000000000000000e+00,1.994843004981257550e+01,3.989686009962515101e+01,5.984529014943763769e+01,7.979372019925030202e+01
2.500000000000000000e+00,1.992986307460663653e+01,3.985972614921327306e+01,5.978958922381983854e+01,7.971945229842654612e+01
3.000000000000000000e+00,1.991167217163638625e+01,3.982334434327277251e+01,5.973501651490899889e+01,7.964668868654554501e+01
3.500000000000000000e+00,1.989471199456462003e+01,3.978942398912924006e+01,5.968413598369372863e+01,7.957884797825848011e+01
4.000000000000000000e+00,1.987861660682712994e+01,3.975723321365425988e+01,5.963584982048124772e+01,7.951446642730851977e+01
4.500000000000000000e+00,1.986345664051839677e+01,3.972691328103679353e+01,5.959036992155500911e+01,7.945382656207358707e+01
5.000000000000000000e+00,1.984920024574829966e+01,3.969840049149659933e+01,5.954760073724474267e+01,7.939680098299319866e+01
5.500000000000000000e+00,1.983568786574547715e+01,3.967137573149095431e+01,5.950706359723626093e+01,7.934275146298190862e+01
6.000000000000000000e+00,1.982296755411243794e+01,3.964593510822487588e+01,5.946890266233713618e+01,7.929187021644975175e+01
6.500000000000000000e+00,1.981087716720848135e+01,3.962175433441696271e+01,5.943263150162528063e+01,7.924350866883392541e+01
7.000000000000000000e+00,1.979944550750139598e+01,3.959889101500279196e+01,5.939833652250401030e+01,7.919778203000558392e+01
7.500000000000000000e+00,1.978856310744110303e+01,3.957712621488220606e+01,5.936568932232312790e+01,7.915425242976441211e+01
