t,D_HS
0,0.412366
0.05,0.414461
0.1,0.416169
0.15,0.417546
0.2,0.418638
0.25,0.419484
0.3,0.420121
0.35,0.420577
0.4,0.420878
0.45,0.421046
0.5,0.4211
0.55,0.421056
0.6,0.420927
0.65,0.420728
0.7,0.420467
0.75,0.420155
0.8,0.419799
0.85,0.419406
0.9,0.418982
0.95,0.418533
1,0.418062
1.05,0.417574
1.1,0.417072
1.15,0.416559
1.2,0.416037
1.25,0.415509
1.3,0.414975
1.35,0.414439
1.4,0.413902
1.45,0.413364
1.5,0.412826
1.55,0.412291
1.6,0.411759
1.65,0.411231
1.7,0.410708
1.75,0.41019
1.8,0.409678
1.85,0.409173
1.9,0.408675
1.95,0.408185
2,0.407703
2.05,0.407229
2.1,0.406765
2.15,0.40631
2.2,0.405864
2.25,0.405428
2.3,0.405002
2.35,0.404586
2.4,0.40418
2.45,0.403784
2.5,0.403398
2.55,0.403022
2.6,0.402657
2.65,0.402301
2.7,0.401956
2.75,0.401621
2.8,0.401296
2.85,0.400981
2.9,0.400676
2.95,0.40038
3,0.400094
3.05,0.399818
3.1,0.399551
3.15,0.399293
3.2,0.399043
3.25,0.398803
3.3,0.398571
3.35,0.398347
3.4,0.398132
3.45,0.397924
3.5,0.397723
3.55,0.39753
3.6,0.397344
3.65,0.397165
3.7,0.396992
3.75,0.396826
3.8,0.396666
3.85,0.396511
3.9,0.396363
3.95,0.396219
4,0.396081
4.05,0.395948
4.1,0.39582
4.15,0.395696
4.2,0.395576
4.25,0.395461
4.3,0.39535
4.35,0.395243
4.4,0.395139
4.45,0.39504
4.5,0.394943
4.55,0.39485
4.6,0.39476
4.65,0.394674
4.7,0.39459
4.75,0.394509
4.8,0.394431
4.85,0.394356
4.9,0.394283
4.95,0.394213
5,0.394145
5.05,0.394079
5.1,0.394016
5.15,0.393955
5.2,0.393896
5.25,0.393839
5.3,0.393783
5.35,0.39373
5.4,0.393679
5.45,0.393629
5.5,0.393581
5.55,0.393535
5.6,0.393491
5.65,0.393448
5.7,0.393406
5.75,0.393366
5.8,0.393327
5.85,0.39329
5.9,0.393253
5.95,0.393219
6,0.393185
