method,param,Lapplies,wall_s,dhs
RK4,dt=0.05,240,0.506387685,0.4241128219
RK4,dt=0.02,600,1.122268941,0.4241128226
RK4,dt=0.01,1200,2.372428184,0.4241128226
RK4,dt=0.005,2400,4.905920003,0.4241128226
RK4,dt=0.002,6000,11.76617614,0.4241128226
RK4,dt=0.001,12000,23.49179906,0.4241128226
Krylov,tau=1.0/m=10,30,0.060132201,0.4243773991
Krylov,tau=1.0/m=20,60,0.126422838,0.4241128246
Krylov,tau=0.5/m=20,120,0.223943201,0.4241128226
Krylov,tau=0.5/m=30,180,0.395653393,0.4241128226
Krylov,tau=0.25/m=30,360,0.595556577,0.4241128226
Krylov,tau=0.25/m=40,480,0.827540595,0.4241128226
RK4,dt=0.2,60,0.148691694,0.4241126473
RK4,dt=0.1,120,0.298787716,0.4241128119
