N,ranks,M,wall_s,dhs
6,8,100,0.154266356,0.4204456772
6,8,100,0.151029149,0.4170824856
6,8,100,0.150743021,0.4286071123
6,8,100,0.136714087,0.4080331309
6,8,100,0.151606285,0.432311764
6,8,100,0.151608456,0.4131611296
6,8,200,0.292453624,0.4206821778
6,8,200,0.287845242,0.4057037886
6,8,200,0.286716489,0.4156833117
6,8,200,0.29522271,0.4098780762
6,8,200,0.313927417,0.4235323545
6,8,200,0.299761283,0.4150409047
6,8,400,0.566011371,0.4040410917
6,8,400,0.569134098,0.4076170269
6,8,400,0.586043244,0.4166561759
6,8,400,0.506796967,0.4131221448
6,8,400,0.500337186,0.402985074
6,8,400,0.468975289,0.4119068561
6,8,800,0.983086881,0.402162288
6,8,800,0.940649484,0.4024369311
6,8,800,0.981869533,0.4113578085
6,8,800,0.980864045,0.4107820245
6,8,800,0.938881775,0.4026201837
6,8,800,0.972414406,0.4106221372
6,8,1600,1.86631509,0.4000645387
6,8,1600,1.829310946,0.404005904
6,8,1600,1.860218039,0.4065994397
6,8,1600,1.902232645,0.4060515547
6,8,1600,1.889691338,0.402189229
6,8,1600,1.859124697,0.4053082339
6,8,3200,3.731010776,0.4019819306
6,8,3200,3.849395639,0.4045022071
6,8,3200,3.837136332,0.4071064698
6,8,3200,3.83049957,0.4082439568
6,8,3200,3.768648989,0.404941984
6,8,3200,3.881249903,0.403391857
