t,n_exc
0,0.25
0.1,0.244769
0.2,0.235356
0.3,0.223933
0.4,0.212095
0.5,0.202018
0.6,0.194872
0.7,0.190489
0.8,0.189675
0.9,0.191831
1,0.196602
1.1,0.202362
1.2,0.209222
1.3,0.21661
1.4,0.222701
1.5,0.228329
1.6,0.232954
1.7,0.236869
1.8,0.239717
1.9,0.242622
2,0.244744
2.1,0.246762
2.2,0.249678
2.3,0.252237
2.4,0.255079
2.5,0.257532
2.6,0.260255
2.7,0.26326
2.8,0.265739
2.9,0.267515
3,0.269602
3.1,0.270966
3.2,0.272988
3.3,0.274615
3.4,0.275369
3.5,0.276694
3.6,0.277965
3.7,0.279015
3.8,0.27981
3.9,0.280468
4,0.280871
4.1,0.281175
4.2,0.281503
4.3,0.282961
4.4,0.283766
4.5,0.2841
4.6,0.284611
4.7,0.28551
4.8,0.285873
4.9,0.28647
5,0.287548
5.1,0.288641
5.2,0.288923
5.3,0.28903
5.4,0.288901
5.5,0.289057
5.6,0.288545
5.7,0.288531
5.8,0.287972
5.9,0.289106
6,0.289459
6.1,0.289268
6.2,0.289994
6.3,0.290059
6.4,0.290201
6.5,0.290086
6.6,0.290139
6.7,0.290757
6.8,0.291199
6.9,0.29178
7,0.292536
7.1,0.292793
7.2,0.293079
7.3,0.293123
7.4,0.293352
7.5,0.293219
7.6,0.293076
7.7,0.293218
7.8,0.292339
7.9,0.292363
8,0.292027
