t,T,a2
0,1,0.5
0.01,0.9953900891,0.4889853419
0.02,0.9908205045,0.4782255316
0.03,0.9862905832,0.4677140625
0.04,0.9817996796,0.4574446115
0.05,0.9773471643,0.447411033
0.06,0.9729324243,0.4376073537
0.07,0.9685548618,0.4280277672
0.08,0.9642138943,0.4186666285
0.09,0.9599089535,0.4095184495
0.1,0.9556394853,0.4005778938
0.11,0.9514049494,0.3918397725
0.12,0.9472048181,0.3832990392
0.13,0.943038577,0.374950786
0.14,0.9389057237,0.3667902393
0.15,0.9348057678,0.3588127555
0.16,0.9307382305,0.3510138175
0.17,0.9267026443,0.3433890305
0.18,0.9226985523,0.3359341186
0.19,0.9187255084,0.3286449211
0.2,0.9147830766,0.3215173894
0.21,0.9108708307,0.3145475833
0.22,0.9069883542,0.307731668
0.23,0.9031352399,0.3010659108
0.24,0.8993110897,0.2945466786
0.25,0.895515514,0.2881704345
0.26,0.891748132,0.2819337352
0.27,0.888008571,0.2758332281
0.28,0.8842964663,0.2698656491
0.29,0.8806114611,0.2640278196
0.3,0.876953206,0.2583166443
0.31,0.8733213591,0.2527291086
0.32,0.8697155854,0.2472622766
0.33,0.866135557,0.2419132886
0.34,0.8625809527,0.2366793589
0.35,0.8590514579,0.231557774
0.36,0.8555467643,0.2265458903
0.37,0.8520665696,0.2216411322
0.38,0.8486105779,0.2168409902
0.39,0.8451784988,0.2121430189
0.4,0.8417700477,0.2075448356
0.41,0.8383849457,0.2030441181
0.42,0.835022919,0.1986386033
0.43,0.8316836993,0.1943260854
0.44,0.8283670232,0.1901044146
0.45,0.8250726324,0.185971495
0.46,0.8218002734,0.1819252838
0.47,0.8185496974,0.1779637893
0.48,0.8153206601,0.1740850698
0.49,0.8121129218,0.1702872321
0.5,0.8089262472,0.1665684302
0.51,0.805760405,0.1629268641
0.52,0.8026151683,0.1593607784
0.53,0.7994903141,0.1558684614
0.54,0.7963856232,0.1524482435
0.55,0.7933008806,0.1490984962
0.56,0.7902358747,0.1458176314
0.57,0.7871903976,0.1426040997
0.58,0.7841642451,0.1394563898
0.59,0.7811572163,0.1363730274
0.6,0.7781691138,0.1333525739
0.61,0.7751997436,0.1303936259
0.62,0.7722489145,0.1274948142
0.63,0.769316439,0.1246548027
0.64,0.7664021322,0.1218722873
0.65,0.7635058126,0.1191459959
0.66,0.7606273013,0.1164746867
0.67,0.7577664224,0.1138571477
0.68,0.7549230029,0.1112921962
0.69,0.7520968723,0.1087786776
0.7,0.749287863,0.106315465
0.71,0.7464958098,0.1039014583
0.72,0.7437205502,0.1015355835
0.73,0.7409619241,0.09921679219
0.74,0.7382197739,0.09694406076
0.75,0.7354939445,0.09471638977
0.76,0.7327842828,0.09253280337
0.77,0.7300906383,0.09039234867
0.78,0.7274128625,0.08829409517
0.79,0.7247508093,0.08623713419
0.8,0.7221043345,0.08422057831
0.81,0.7194732962,0.08224356082
0.82,0.7168575545,0.08030523523
0.83,0.7142569713,0.07840477472
0.84,0.7116714107,0.07654137166
0.85,0.7091007386,0.07471423716
0.86,0.7065448229,0.07292260053
0.87,0.7040035332,0.0711657089
0.88,0.701476741,0.06944282671
0.89,0.6989643194,0.06775323533
0.9,0.6964661435,0.06609623262
0.91,0.6939820898,0.06447113249
0.92,0.6915120368,0.06287726457
0.93,0.6890558643,0.06131397375
0.94,0.6866134539,0.05978061984
0.95,0.6841846886,0.05827657722
0.96,0.6817694532,0.05680123444
0.97,0.6793676337,0.0553539939
0.98,0.6769791179,0.0539342715
0.99,0.6746037946,0.05254149631
1,0.6722415545,0.05117511027
1.01,0.6698922894,0.04983456783
1.02,0.6675558926,0.04851933572
1.03,0.6652322586,0.04722889256
1.04,0.6629212833,0.04596272866
1.05,0.6606228641,0.04472034567
1.06,0.6583368992,0.04350125635
1.07,0.6560632885,0.04230498428
1.08,0.6538019329,0.04113106363
1.09,0.6515527344,0.03997903885
1.1,0.6493155965,0.03884846449
1.11,0.6470904236,0.0377389049
1.12,0.6448771214,0.03664993406
1.13,0.6426755965,0.03558113527
1.14,0.6404857567,0.03453210101
1.15,0.6383075111,0.03350243268
1.16,0.6361407696,0.03249174038
1.17,0.6339854431,0.03149964273
1.18,0.6318414437,0.03052576666
1.19,0.6297086845,0.02956974723
1.2,0.6275870796,0.02863122739
1.21,0.6254765438,0.02770985785
1.22,0.6233769932,0.02680529687
1.23,0.6212883448,0.02591721011
1.24,0.6192105162,0.0250452704
1.25,0.6171434264,0.02418915765
1.26,0.6150869949,0.02334855862
1.27,0.6130411422,0.0225231668
1.28,0.6110057898,0.02171268225
1.29,0.6089808599,0.02091681142
1.3,0.6069662755,0.02013526705
1.31,0.6049619607,0.01936776798
1.32,0.6029678401,0.01861403903
1.33,0.6009838393,0.01787381087
1.34,0.5990098846,0.01714681986
1.35,0.597045903,0.01643280797
1.36,0.5950918225,0.01573152259
1.37,0.5931475716,0.01504271645
1.38,0.5912130798,0.01436614748
1.39,0.589288277,0.01370157869
1.4,0.5873730941,0.01304877809
1.41,0.5854674627,0.01240751851
1.42,0.5835713149,0.01177757755
1.43,0.5816845836,0.01115873747
1.44,0.5798072024,0.01055078502
1.45,0.5779391056,0.00995351144
1.46,0.576080228,0.009366712269
1.47,0.5742305053,0.008790187299
1.48,0.5723898735,0.008223740467
1.49,0.5705582696,0.007667179761
1.5,0.568735631,0.00712031713
1.51,0.5669218957,0.006582968398
1.52,0.5651170023,0.006054953177
1.53,0.5633208902,0.005536094782
1.54,0.5615334992,0.005026220151
1.55,0.5597547697,0.004525159765
1.56,0.5579846427,0.004032747565
1.57,0.5562230598,0.003548820884
1.58,0.5544699631,0.003073220367
1.59,0.5527252951,0.002605789897
1.6,0.5509889993,0.00214637653
1.61,0.5492610191,0.001694830421
1.62,0.5475412991,0.001251004756
1.63,0.5458297838,0.000814755689
1.64,0.5441264186,0.0003859422758
1.65,0.5424311494,-3.557358951e-05
1.66,0.5407439223,-0.0004499272355
1.67,0.5390646843,-0.0008572512737
1.68,0.5373933825,-0.001257675657
1.69,0.5357299647,-0.001651327738
1.7,0.5340743793,-0.002038332325
1.71,0.5324265747,-0.002418811734
1.72,0.5307865004,-0.002792885846
1.73,0.5291541057,-0.003160672158
1.74,0.5275293409,-0.003522285833
1.75,0.5259121564,-0.003877839751
1.76,0.5243025032,-0.004227444557
1.77,0.5227003326,-0.004571208709
1.78,0.5211055965,-0.004909238526
1.79,0.5195182472,-0.00524163823
1.8,0.5179382372,-0.005568509994
1.81,0.5163655197,-0.005889953983
1.82,0.5148000481,-0.006206068398
1.83,0.5132417763,-0.006516949517
1.84,0.5116906586,-0.006822691735
1.85,0.5101466497,-0.007123387603
1.86,0.5086097046,-0.007419127871
1.87,0.5070797787,-0.007710001519
1.88,0.505556828,-0.007996095799
1.89,0.5040408085,-0.008277496272
1.9,0.5025316769,-0.008554286838
1.91,0.5010293901,-0.008826549775
1.92,0.4995339054,-0.009094365772
1.93,0.4980451805,-0.009357813962
1.94,0.4965631734,-0.009616971953
1.95,0.4950878424,-0.009871915861
1.96,0.4936191463,-0.01012272034
1.97,0.4921570441,-0.01036945861
1.98,0.4907014951,-0.0106122025
1.99,0.4892524592,-0.01085102245
2,0.4878098964,-0.01108598757
2.01,0.486373767,-0.01131716565
2.02,0.4849440318,-0.01154462317
2.03,0.4835206519,-0.01176842538
2.04,0.4821035884,-0.01198863627
2.05,0.4806928031,-0.01220531862
2.06,0.479288258,-0.01241853403
2.07,0.4778899153,-0.01262834292
2.08,0.4764977377,-0.0128348046
2.09,0.4751116879,-0.01303797723
2.1,0.4737317291,-0.01323791789
2.11,0.4723578249,-0.0134346826
2.12,0.470989939,-0.01362832631
2.13,0.4696280353,-0.01381890295
2.14,0.4682720783,-0.01400646544
2.15,0.4669220325,-0.01419106572
2.16,0.4655778629,-0.01437275474
2.17,0.4642395345,-0.01455158253
2.18,0.4629070129,-0.01472759817
2.19,0.4615802637,-0.01490084984
2.2,0.4602592528,-0.01507138481
2.21,0.4589439466,-0.01523924949
2.22,0.4576343114,-0.01540448944
2.23,0.4563303142,-0.01556714935
2.24,0.4550319218,-0.01572727312
2.25,0.4537391015,-0.01588490381
2.26,0.4524518208,-0.01604008372
2.27,0.4511700476,-0.01619285435
2.28,0.4498937498,-0.01634325645
2.29,0.4486228956,-0.01649133002
2.3,0.4473574535,-0.01663711433
2.31,0.4460973923,-0.01678064794
2.32,0.444842681,-0.0169219687
2.33,0.4435932887,-0.01706111377
2.34,0.4423491848,-0.01719811964
2.35,0.441110339,-0.01733302214
2.36,0.4398767213,-0.01746585644
2.37,0.4386483016,-0.01759665708
2.38,0.4374250504,-0.01772545798
2.39,0.4362069382,-0.01785229244
2.4,0.4349939358,-0.01797719317
2.41,0.4337860141,-0.01810019227
2.42,0.4325831443,-0.0182213213
2.43,0.431385298,-0.01834061122
2.44,0.4301924466,-0.01845809244
2.45,0.429004562,-0.01857379485
2.46,0.4278216163,-0.01868774777
2.47,0.4266435817,-0.01879998003
2.48,0.4254704306,-0.01891051993
2.49,0.4243021357,-0.01901939527
2.5,0.4231386698,-0.01912663334
2.51,0.421980006,-0.01923226098
2.52,0.4208261174,-0.01933630452
2.53,0.4196769776,-0.01943878984
2.54,0.4185325602,-0.01953974237
2.55,0.4173928388,-0.01963918707
2.56,0.4162577877,-0.01973714848
2.57,0.4151273808,-0.01983365069
2.58,0.4140015926,-0.01992871739
2.59,0.4128803976,-0.02002237184
2.6,0.4117637706,-0.02011463688
2.61,0.4106516864,-0.02020553497
2.62,0.4095441202,-0.02029508818
2.63,0.4084410471,-0.02038331816
2.64,0.4073424427,-0.02047024624
2.65,0.4062482826,-0.02055589332
2.66,0.4051585424,-0.02064027997
2.67,0.4040731982,-0.02072342641
2.68,0.4029922261,-0.02080535247
2.69,0.4019156024,-0.02088607768
2.7,0.4008433034,-0.0209656212
2.71,0.3997753059,-0.02104400189
2.72,0.3987115866,-0.02112123825
2.73,0.3976521224,-0.02119734848
2.74,0.3965968904,-0.02127235048
2.75,0.3955458679,-0.02134626181
2.76,0.3944990322,-0.02141909976
2.77,0.393456361,-0.0214908813
2.78,0.392417832,-0.02156162312
2.79,0.391383423,-0.02163134163
2.8,0.390353112,-0.02170005296
2.81,0.3893268773,-0.02176777295
2.82,0.3883046971,-0.02183451718
2.83,0.3872865499,-0.02190030096
2.84,0.3862724143,-0.02196513936
2.85,0.3852622692,-0.02202904716
2.86,0.3842560933,-0.02209203893
2.87,0.3832538657,-0.02215412895
2.88,0.3822555656,-0.0222153313
2.89,0.3812611724,-0.02227565979
2.9,0.3802706655,-0.02233512803
2.91,0.3792840245,-0.02239374936
2.92,0.3783012291,-0.02245153693
2.93,0.3773222593,-0.02250850365
2.94,0.376347095,-0.02256466223
2.95,0.3753757164,-0.02262002515
2.96,0.3744081037,-0.02267460469
2.97,0.3734442373,-0.02272841294
2.98,0.3724840979,-0.02278146175
2.99,0.371527666,-0.02283376281
3,0.3705749224,-0.02288532759
3.01,0.3696258481,-0.02293616739
3.02,0.3686804241,-0.02298629331
3.03,0.3677386315,-0.02303571627
3.04,0.3668004517,-0.02308444701
3.05,0.3658658661,-0.02313249608
3.06,0.3649348562,-0.02317987388
3.07,0.3640074036,-0.02322659062
3.08,0.3630834902,-0.02327265635
3.09,0.3621630978,-0.02331808095
3.1,0.3612462085,-0.02336287414
3.11,0.3603328043,-0.02340704547
3.12,0.3594228675,-0.02345060437
3.13,0.3585163806,-0.02349356006
3.14,0.3576133258,-0.02353592166
3.15,0.3567136859,-0.02357769811
3.16,0.3558174435,-0.02361889822
3.17,0.3549245815,-0.02365953064
3.18,0.3540350827,-0.02369960391
3.19,0.3531489303,-0.02373912639
3.2,0.3522661072,-0.02377810634
3.21,0.3513865968,-0.02381655187
3.22,0.3505103824,-0.02385447096
3.23,0.3496374475,-0.02389187146
3.24,0.3487677757,-0.02392876111
3.25,0.3479013506,-0.02396514749
3.26,0.3470381559,-0.02400103808
3.27,0.3461781756,-0.02403644026
3.28,0.3453213936,-0.02407136125
3.29,0.344467794,-0.02410580818
3.3,0.343617361,-0.02413978806
3.31,0.3427700789,-0.02417330779
3.32,0.341925932,-0.02420637416
3.33,0.3410849048,-0.02423899384
3.34,0.3402469818,-0.02427117341
3.35,0.3394121478,-0.02430291934
3.36,0.3385803875,-0.024334238
3.37,0.3377516858,-0.02436513564
3.38,0.3369260276,-0.02439561843
3.39,0.336103398,-0.02442569244
3.4,0.335283782,-0.02445536364
3.41,0.334467165,-0.02448463791
3.42,0.3336535322,-0.02451352103
3.43,0.332842869,-0.0245420187
3.44,0.3320351611,-0.02457013651
3.45,0.3312303939,-0.02459787999
3.46,0.3304285531,-0.02462525457
3.47,0.3296296245,-0.02465226558
3.48,0.328833594,-0.02467891828
3.49,0.3280404475,-0.02470521786
3.5,0.327250171,-0.0247311694
3.51,0.3264627507,-0.02475677794
3.52,0.3256781726,-0.02478204839
3.53,0.3248964233,-0.02480698564
3.54,0.3241174889,-0.02483159446
3.55,0.3233413559,-0.02485587956
3.56,0.3225680109,-0.02487984559
3.57,0.3217974406,-0.02490349711
3.58,0.3210296314,-0.02492683861
3.59,0.3202645704,-0.02494987453
3.6,0.3195022442,-0.02497260921
3.61,0.3187426399,-0.02499504696
3.62,0.3179857444,-0.025017192
3.63,0.3172315449,-0.02503904848
3.64,0.3164800285,-0.0250606205
3.65,0.3157311824,-0.0250819121
3.66,0.314984994,-0.02510292724
3.67,0.3142414507,-0.02512366984
3.68,0.3135005399,-0.02514414374
3.69,0.3127622492,-0.02516435274
3.7,0.3120265662,-0.02518430058
3.71,0.3112934787,-0.02520399092
3.72,0.3105629743,-0.02522342739
3.73,0.3098350409,-0.02524261355
3.74,0.3091096664,-0.02526155292
3.75,0.3083868389,-0.02528024895
3.76,0.3076665463,-0.02529870506
3.77,0.3069487768,-0.02531692458
3.78,0.3062335186,-0.02533491083
3.79,0.3055207599,-0.02535266707
3.8,0.3048104891,-0.02537019649
3.81,0.3041026947,-0.02538750225
3.82,0.3033973649,-0.02540458746
3.83,0.3026944885,-0.02542145518
3.84,0.3019940539,-0.02543810843
3.85,0.3012960499,-0.02545455017
3.86,0.3006004653,-0.02547078334
3.87,0.2999072887,-0.02548681082
3.88,0.2992165091,-0.02550263544
3.89,0.2985281155,-0.02551826001
3.9,0.2978420967,-0.02553368727
3.91,0.2971584419,-0.02554891995
3.92,0.2964771402,-0.02556396071
3.93,0.2957981807,-0.02557881219
3.94,0.2951215528,-0.02559347698
3.95,0.2944472458,-0.02560795765
3.96,0.2937752489,-0.0256222567
3.97,0.2931055517,-0.02563637662
3.98,0.2924381437,-0.02565031986
3.99,0.2917730143,-0.02566408883
4,0.2911101532,-0.02567768588
4.01,0.2904495502,-0.02569111338
4.02,0.2897911948,-0.02570437361
4.03,0.289135077,-0.02571746885
4.04,0.2884811865,-0.02573040133
4.05,0.2878295133,-0.02574317326
4.06,0.2871800473,-0.0257557868
4.07,0.2865327786,-0.02576824411
4.08,0.2858876972,-0.02578054728
4.09,0.2852447933,-0.0257926984
4.1,0.284604057,-0.02580469951
4.11,0.2839654787,-0.02581655262
4.12,0.2833290485,-0.02582825974
4.13,0.282694757,-0.02583982281
4.14,0.2820625944,-0.02585124376
4.15,0.2814325512,-0.02586252451
4.16,0.280804618,-0.02587366692
4.17,0.2801787854,-0.02588467284
4.18,0.2795550439,-0.0258955441
4.19,0.2789333842,-0.02590628248
4.2,0.2783137971,-0.02591688976
4.21,0.2776962733,-0.02592736769
4.22,0.2770808037,-0.02593771797
4.23,0.2764673792,-0.02594794231
4.24,0.2758559906,-0.02595804237
4.25,0.2752466291,-0.0259680198
4.26,0.2746392855,-0.02597787622
4.27,0.274033951,-0.02598761323
4.28,0.2734306168,-0.02599723241
4.29,0.272829274,-0.02600673531
4.3,0.2722299138,-0.02601612345
4.31,0.2716325275,-0.02602539836
4.32,0.2710371065,-0.02603456152
4.33,0.2704436421,-0.02604361439
4.34,0.2698521258,-0.02605255842
4.35,0.269262549,-0.02606139503
4.36,0.2686749032,-0.02607012564
4.37,0.26808918,-0.02607875163
4.38,0.267505371,-0.02608727436
4.39,0.2669234679,-0.02609569518
4.4,0.2663434624,-0.02610401541
4.41,0.2657653462,-0.02611223637
4.42,0.265189111,-0.02612035935
4.43,0.2646147489,-0.02612838562
4.44,0.2640422515,-0.02613631643
4.45,0.2634716109,-0.02614415301
4.46,0.262902819,-0.0261518966
