t,T,a2
0,0.99,-0.35
0.01,0.9861124352,-0.3432767777
0.02,0.9822425883,-0.3367062381
0.03,0.9783904868,-0.3302846407
0.04,0.9745561532,-0.3240083426
0.05,0.9707396048,-0.3178737959
0.06,0.9669408546,-0.3118775451
0.07,0.9631599108,-0.3060162243
0.08,0.9593967775,-0.3002865552
0.09,0.9556514543,-0.2946853444
0.1,0.9519239371,-0.2892094813
0.11,0.9482142179,-0.2838559355
0.12,0.9445222849,-0.2786217549
0.13,0.940848123,-0.2735040637
0.14,0.9371917135,-0.2685000598
0.15,0.9335530346,-0.2636070134
0.16,0.9299320613,-0.2588222646
0.17,0.9263287657,-0.2541432218
0.18,0.9227431169,-0.2495673596
0.19,0.9191750816,-0.2450922171
0.2,0.9156246235,-0.2407153965
0.21,0.9120917041,-0.2364345607
0.22,0.9085762824,-0.2322474323
0.23,0.9050783152,-0.2281517916
0.24,0.9015977569,-0.2241454754
0.25,0.89813456,-0.2202263751
0.26,0.8946886752,-0.2163924354
0.27,0.8912600509,-0.2126416531
0.28,0.8878486341,-0.2089720753
0.29,0.8844543697,-0.2053817982
0.3,0.8810772014,-0.2018689662
0.31,0.8777170709,-0.1984317698
0.32,0.8743739189,-0.1950684451
0.33,0.8710476842,-0.1917772723
0.34,0.8677383047,-0.1885565744
0.35,0.8644457168,-0.1854047165
0.36,0.8611698558,-0.1823201042
0.37,0.8579106558,-0.1793011826
0.38,0.8546680499,-0.1763464357
0.39,0.8514419702,-0.1734543848
0.4,0.8482323478,-0.1706235879
0.41,0.8450391129,-0.1678526386
0.42,0.841862195,-0.1651401652
0.43,0.8387015225,-0.1624848297
0.44,0.8355570234,-0.159885327
0.45,0.8324286249,-0.1573403841
0.46,0.8293162534,-0.1548487591
0.47,0.826219835,-0.1524092405
0.48,0.8231392948,-0.1500206464
0.49,0.8200745579,-0.1476818237
0.5,0.8170255486,-0.1453916474
0.51,0.8139921907,-0.1431490198
0.52,0.8109744078,-0.1409528698
0.53,0.8079721232,-0.1388021524
0.54,0.8049852595,-0.1366958476
0.55,0.8020137393,-0.1346329603
0.56,0.7990574848,-0.1326125193
0.57,0.7961164182,-0.1306335766
0.58,0.7931904611,-0.1286952073
0.59,0.7902795352,-0.1267965083
0.6,0.7873835619,-0.1249365985
0.61,0.7845024625,-0.1231146175
0.62,0.7816361584,-0.1213297258
0.63,0.7787845705,-0.1195811037
0.64,0.7759476201,-0.1178679509
0.65,0.7731252281,-0.1161894864
0.66,0.7703173155,-0.1145449474
0.67,0.7675238034,-0.1129335894
0.68,0.7647446129,-0.1113546854
0.69,0.7619796649,-0.1098075255
0.7,0.7592288807,-0.1082914167
0.71,0.7564921816,-0.106805682
0.72,0.7537694887,-0.1053496606
0.73,0.7510607235,-0.103922707
