T,a2
0.105,0.9989043472
0.1099469845,0.9984532078
0.115127042,0.9978207315
0.1205511534,0.9969492664
0.1262308171,0.9957683236
0.1321780733,0.9941933927
0.1384055294,0.992125114
0.1449263867,0.9894489488
0.1517544685,0.9860354828
0.1589042496,0.9817414926
0.1663908864,0.9764118758
0.1742302497,0.9698825115
0.1824389578,0.9619840621
0.1910344121,0.9525466657
0.2000348338,0.9414053877
0.2094593027,0.9284062241
0.2193277973,0.9134123709
0.2296612375,0.89631041
0.2404815289,0.877016023
0.2518116089,0.8554788353
0.2636754959,0.8316860246
0.2760983398,0.8056643948
0.2891064752,0.7774807243
0.3027274777,0.7472403238
0.316990222,0.71508388
0.3319249432,0.6811827928
0.347563301,0.6457333258
0.3639384465,0.6089499636
0.3810850928,0.5710584055
0.3990395887,0.5322886166
0.4178399951,0.4928683121
0.4375261665,0.4530171807
0.4581398349,0.4129420622
0.4797246985,0.3728332071
0.5023265144,0.3328616541
0.5259931954,0.293177693
0.5507749117,0.2539103201
0.5767241971,0.2151675561
0.6038960608,0.1770374715
0.6323481035,0.1395897586
0.6621406396,0.102877691
0.6933368254,0.06694032006
0.7260027926,0.03180477622
0.7602077887,-0.002511440469
0.7960243237,-0.03599827641
0.833528324,-0.06865112301
0.8727992929,-0.1004690543
0.9139204796,-0.1314533417
0.9569790557,-0.1616062672
1.002066299,-0.1909302388
1.04927779,-0.2194271984
1.098713609,-0.2470982999
1.150478554,-0.2739438241
1.20468236,-0.2999632902
1.261439932,-0.3251557182
1.320871587,-0.3495199969
1.383103314,-0.3730553095
1.448267035,-0.3957615776
1.516500889,-0.4176398865
1.587949522,-0.4386928623
1.662764395,-0.4589249822
1.741104107,-0.4783428029
1.823134727,-0.4969551021
1.90903015,-0.5147729352
1.99897246,-0.5318096104
2.093152326,-0.5480805952
2.191769394,-0.5636033628
2.295032721,-0.5783971942
2.40316121,-0.5924829476
2.516384081,-0.6058828083
2.634941349,-0.6186200301
2.75908434,-0.6307186775
2.889076222,-0.6422033769
3.025192559,-0.6530990827
3.1677219,-0.6634308616
3.316966389,-0.6732236998
3.473242403,-0.6825023325
3.636881226,-0.6912910972
3.808229752,-0.6996138103
3.987651216,-0.7074936656
4.175525967,-0.7149531533
4.372252276,-0.7220139976
4.578247175,-0.7286971113
4.793947347,-0.7350225651
5.019810046,-0.7410095698
5.256314072,-0.746676469
5.503960781,-0.7520407419
5.763275151,-0.7571190126
6.034806895,-0.7619270669
6.319131623,-0.7664798727
6.616852065,-0.7707916051
6.92859935,-0.7748756741
7.255034339,-0.7787447541
7.596849032,-0.7824108149
7.954768029,-0.7858851538
8.329550072,-0.7891784267
8.721989648,-0.7923006812
9.132918676,-0.7952613868
9.563208271,-0.7980694666
10.01377059,-0.8007333266
10.48556076,-0.8032608847
10.97957893,-0.8056595986
11.49687233,-0.8079364923
12.03853756,-0.8100981814
12.60572289,-0.8121508972
13.19963066,-0.8141005097
13.82151989,-0.8159525493
14.47270889,-0.8177122272
15.1545781,-0.8193844546
15.868573,-0.8209738614
16.61620714,-0.8224848125
17.39906543,-0.8239214249
18.2188074,-0.825287582
19.07717082,-0.8265869482
19.97597529,-0.827822982
20.91712615,-0.8289989488
21.90261853,-0.830117932
22.93454153,-0.8311828447
24.0150827,-0.8321964395
25.14653263,-0.8331613179
26.33128985,-0.8340799399
27.57186589,-0.8349546319
28.8708906,-0.8357875948
30.23111774,-0.8365809113
31.6554308,-0.8373365529
33.14684916,-0.8380563865
34.7085344,-0.8387421799
36.34379709,-0.8393956082
38.05610378,-0.8400182586
39.84908433,-0.8406116358
41.72653961,-0.8411771663
43.69244957,-0.8417162029
45.75098169,-0.842230029
47.90649978,-0.8427198625
50.16357324,-0.8431868589
52.52698678,-0.8436321154
55.00175051,-0.8440566737
57.5931106,-0.8444615232
60.30656039,-0.8448476034
63.14785203,-0.8452158074
66.12300867,-0.8455669836
69.23833726,-0.8459019384
72.50044187,-0.8462214384
75.91623773,-0.8465262128
79.49296587,-0.8468169546
83.23820847,-0.8470943231
87.15990496,-0.8473589458
91.26636879,-0.8476114193
95.56630513,-0.8478523116
100.0688293,-0.8480821631
104.7834859,-0.8483014883
109.7202696,-0.8485107771
114.8896456,-0.8487104956
120.3025723,-0.8489010881
125.9705243,-0.8490829773
131.905517,-0.8492565661
138.1201318,-0.8494222381
144.6275429,-0.849580359
151.4415449,-0.8497312769
158.5765829,-0.8498753237
166.047782,-0.8500128157
173.8709801,-0.8501440542
182.0627616,-0.8502693265
190.6404917,-0.8503889065
199.6223543,-0.850503055
209.0273895,-0.8506120211
218.8755349,-0.850716042
229.1876672,-0.8508153438
239.9856467,-0.8509101424
251.2923636,-0.8510006434
263.1317869,-0.8510870431
275.5290143,-0.8511695285
288.5103265,-0.8512482781
302.1032419,-0.8513234621
316.3365759,-0.851395243
331.2405012,-0.8514637757
346.846612,-0.8515292078
363.1879913,-0.8515916805
380.2992806,-0.8516513282
398.2167536,-0.8517082793
416.9783929,-0.8517626563
436.6239707,-0.8518145759
457.1951329,-0.8518641497
478.7354877,-0.851911484
501.2906977,-0.8519566805
524.9085771,-0.8519998361
549.6391925,-0.8520410431
575.5349695,-0.85208039
602.6508038,-0.8521179608
631.0441772,-0.8521538361
660.77528,-0.8521880925
691.907138,-0.8522208034
724.5057468,-0.8522520385
758.6402109,-0.8522818647
794.3828908,-0.8523103457
831.8095564,-0.8523375423
870.999547,-0.8523635125
912.0359403,-0.8523883117
955.0057279,-0.8524119929
1000,-0.8524346065
