t,D_L1_h,D_L1_w,D_L1_c,D_KL_h,D_KL_w,D_KL_c
0,1.517754339,1.108522569,0.007016223555,12.62509921,2.280983108,8.93029665e-05
0.0025,1.474590339,1.049558838,0.008213659883,11.29415316,1.654909929,0.0001209681707
0.005,1.424230448,0.9965541744,0.00998807252,8.461397455,1.291352952,0.0001377465136
0.0075,1.367493901,0.9514541746,0.00755607772,4.928005138,1.080423244,0.0001342974752
0.01,1.29891361,0.9076901755,0.007366638223,3.066191584,0.9433847257,0.0001270762965
0.0125,1.215377472,0.8711982891,0.008580487056,2.074158105,0.8494201085,0.0001168819973
0.015,1.121984099,0.8431596102,0.008409914321,1.496304289,0.7812558265,0.0001271647108
0.0175,1.029450299,0.821142497,0.009696374359,1.142331323,0.7275063538,0.0001318845421
0.02,0.9479330018,0.8053010247,0.008307542861,0.9143141427,0.6833510775,0.0001096113001
0.0225,0.8809399494,0.7921124171,0.008291888726,0.759531578,0.6453627327,0.0001033101067
0.025,0.8317399551,0.7808197828,0.008842117814,0.6525454155,0.6126089563,0.0001043445079
0.0275,0.7922484003,0.7695172036,0.01029596527,0.5772908911,0.5830532779,0.0001303837775
0.03,0.7631250625,0.7592982219,0.009868758636,0.5216962356,0.5570346712,0.0001318797196
0.0325,0.7427484729,0.7497554454,0.009289612834,0.4804832031,0.5333650022,0.0001180372142
0.035,0.728601814,0.7405160383,0.007161788043,0.4487845257,0.5114427412,9.433426396e-05
0.0375,0.7192048503,0.7317778098,0.008856570348,0.4233733251,0.4910465647,0.0001095744937
0.04,0.7137937852,0.7231622219,0.007689897535,0.4036375141,0.471893778,8.855068373e-05
0.0425,0.708920335,0.7150862219,0.00825783826,0.3878743483,0.4545063107,0.0001005022066
0.045,0.7043184981,0.7067648456,0.009035591091,0.3745640557,0.4379551007,0.0001343919776
0.0475,0.7009403683,0.699739,0.0075984832,0.3635785007,0.4220918321,9.754073693e-05
0.05,0.6970724691,0.6920822219,0.00724657125,0.3542018014,0.4073076836,0.0001338984724
0.0525,0.6935998123,0.6857355949,0.007835561796,0.3457796901,0.3942346149,0.0001075772678
0.055,0.6903312302,0.679230947,0.008785856824,0.3388215242,0.3820053169,0.0001160086374
0.0575,0.687034024,0.6732027247,0.008292507134,0.3321696567,0.3703646016,0.0001067316325
0.06,0.6841528658,0.667454947,0.007793690247,0.3267031614,0.3593611172,9.068432728e-05
0.0625,0.6814340373,0.6626077098,0.008264139387,0.3215773009,0.3493259632,8.886900415e-05
0.065,0.6784765904,0.6572936962,0.007879156662,0.3169205211,0.3400076552,9.779227849e-05
0.0675,0.6756103332,0.6523957098,0.006006469035,0.3126273969,0.3310933727,8.051268165e-05
0.07,0.6731057512,0.6478790965,0.007404303615,0.308733018,0.3226450283,8.895183557e-05
0.0725,0.6711922991,0.642982777,0.006316675797,0.3052230754,0.314920656,7.198189405e-05
0.075,0.6688903332,0.638810947,0.007919972401,0.3019254279,0.3077361134,9.032675499e-05
0.0775,0.6673230961,0.6347556362,0.008685927361,0.2988315408,0.3009900868,9.006730811e-05
0.08,0.6652970825,0.6310370824,0.006665985204,0.295955255,0.2948833885,9.922862548e-05
