t,D_L1_cold,D_L1_cool,D_KL_cold,D_KL_cool
0,1.589232431,0.9452937002,1.878868377,0.6259796406
0.005,1.245738433,0.8706415173,1.038159529,0.5322905741
0.01,1.095723159,0.8229148704,0.8182461287,0.486966843
0.015,0.9978411522,0.783714428,0.6955944586,0.4511762014
0.02,0.92746629,0.7478497906,0.6152335615,0.422484733
0.025,0.871999973,0.7206429975,0.5566132776,0.398626326
0.03,0.8276874545,0.6945425304,0.5126223017,0.3787391698
0.035,0.7893422636,0.6723718886,0.4770793761,0.361728153
0.04,0.75684631,0.6541170754,0.4473073992,0.3461278916
0.045,0.7289100115,0.6351117507,0.4230901854,0.3330166803
0.05,0.7044980241,0.6209254811,0.4023710154,0.32132766
0.055,0.6826141717,0.6056545275,0.3836997274,0.3106383172
0.06,0.6610224436,0.5910454369,0.3668246915,0.3003642046
0.065,0.6422799468,0.5789825539,0.3526778996,0.2914106143
0.07,0.6260776939,0.5671715171,0.339888717,0.2828633557
0.075,0.611722768,0.5568647608,0.3278028821,0.2753666321
0.08,0.5984654768,0.5454996419,0.3175724217,0.2677585382
0.085,0.5847701954,0.5371554889,0.3085236706,0.2610418564
0.09,0.5736048987,0.527234368,0.2996450056,0.2543738808
0.095,0.5625005059,0.5175008688,0.2915936748,0.2480775191
0.1,0.5525110515,0.510434973,0.2839496611,0.2425408745
0.105,0.5440051644,0.5042661883,0.2768684755,0.2377206773
0.11,0.5335394346,0.4954821579,0.26956672,0.2326430813
0.115,0.5249320533,0.4887947761,0.2635743059,0.2278026525
0.12,0.5183426265,0.4830774003,0.2577907592,0.2232971608
0.125,0.510040811,0.4766815178,0.2520646762,0.2187268213
0.13,0.5028018364,0.4700020195,0.2467937779,0.2142047496
0.135,0.4957300257,0.4645685006,0.2414595151,0.2101874199
0.14,0.4887969467,0.4581398964,0.2367175569,0.2062183935
0.145,0.4834336693,0.4532335318,0.2321244729,0.2023979933
0.15,0.4774700659,0.4477469032,0.2269510656,0.1987459863
0.155,0.4716881526,0.4428263975,0.2225569432,0.1947896396
0.16,0.4656587312,0.4375049762,0.2179733917,0.1914614948
0.165,0.460209596,0.4322571604,0.2138701588,0.1877261045
0.17,0.4551675702,0.4272554332,0.2100301538,0.1842522808
0.175,0.4502916058,0.423388925,0.2060506387,0.1815798292
0.18,0.4447745767,0.4186183272,0.2020949575,0.1781078116
0.185,0.4392458531,0.4158173553,0.1980694907,0.1748857346
0.19,0.4339928644,0.4108851277,0.1947358599,0.1719545849
0.195,0.4300003022,0.4091534802,0.191394442,0.1695275965
0.2,0.4262692872,0.4048484577,0.1879904789,0.166672067
0.205,0.421790683,0.4008300969,0.1844031149,0.1637458151
0.21,0.4172480375,0.3964883903,0.1813594109,0.1608970371
0.215,0.4138922557,0.3936908318,0.1784434427,0.1584311873
0.22,0.4094306644,0.3906191754,0.1754984397,0.1559480812
0.225,0.4062665462,0.3864945073,0.1727581229,0.1530438369
0.23,0.4024104729,0.3829833156,0.1698135321,0.150633797
0.235,0.3993610184,0.3798934369,0.1668582636,0.1479326704
0.24,0.3966587783,0.376291736,0.1641219742,0.1456740695
0.245,0.3920099017,0.3730548098,0.1615188627,0.1435679364
0.25,0.3890004388,0.3699532999,0.1586627566,0.1410045567
0.255,0.3861571972,0.3668189291,0.1562762259,0.1386403517
0.26,0.3819104208,0.3635409646,0.1537098515,0.1365757448
0.265,0.3787409079,0.3601605623,0.150817076,0.1346185046
0.27,0.3752684629,0.3576650753,0.1486480162,0.1323655357
0.275,0.3729176356,0.3548643716,0.1458840869,0.1304362688
0.28,0.3693401131,0.3518987491,0.1435037243,0.1282351165
0.285,0.3655443376,0.3490789454,0.1414176061,0.1260709986
0.29,0.3624402265,0.346128263,0.1390516086,0.1241688479
0.295,0.3595690307,0.3439669897,0.136647142,0.1227423724
0.3,0.357593008,0.3422443403,0.1345154399,0.1210861405
0.305,0.353033685,0.3390846052,0.1322215466,0.119158192
0.31,0.3518979851,0.3359566507,0.1301877886,0.1171829935
0.315,0.349432072,0.333632538,0.1287186939,0.1157010876
0.32,0.3465553982,0.3307293537,0.1264215189,0.1136548085
0.325,0.3437553743,0.3283721719,0.1246929308,0.1115855464
0.33,0.341353314,0.3264796106,0.1224523452,0.1098953355
0.335,0.3384834589,0.3238894841,0.1205103319,0.1083044665
0.34,0.3358843812,0.3217749731,0.1186551706,0.1065817386
0.345,0.3340536661,0.3194849095,0.1168993623,0.1046916887
0.35,0.332193961,0.3168208888,0.1151376754,0.1032942095
0.355,0.3287911858,0.3144463857,0.1128967773,0.101615682
0.36,0.3274557135,0.3127863553,0.1112951974,0.1002360005
0.365,0.3254549427,0.3103967275,0.1096751767,0.09852914701
0.37,0.3221037932,0.3081514134,0.1075725755,0.09726988593
0.375,0.3191216968,0.3050624489,0.1059214656,0.09562240562
0.38,0.3174193676,0.3040353873,0.1039181327,0.09419650363
0.385,0.3145125979,0.300800068,0.1023646609,0.0927289619
0.39,0.3121488602,0.2991681236,0.1008734825,0.09130182381
0.395,0.3100474174,0.2976618429,0.09934833719,0.09020610573
0.4,0.3076895016,0.295399158,0.09767934574,0.08855796294
0.405,0.3051056888,0.2938185391,0.09612916526,0.08723381976
0.41,0.3026361723,0.2916887436,0.09425801274,0.08609423301
0.415,0.3003270825,0.289496385,0.09283119835,0.08449912923
0.42,0.2979178793,0.2874056398,0.09133870269,0.08360385547
0.425,0.2964471381,0.285089348,0.09013884196,0.08239577438
0.43,0.2952795837,0.2837478499,0.08880228645,0.08116741613
0.435,0.2940054372,0.2818619804,0.08735858026,0.07991347318
0.44,0.2907074123,0.2790890834,0.08613862942,0.07835311345
0.445,0.2878286418,0.2765549743,0.0847650739,0.07712907417
0.45,0.2866258404,0.2753067149,0.08362717684,0.07601881894
0.455,0.2846754094,0.2734448896,0.08201407664,0.07496511548
0.46,0.2825291911,0.2724170192,0.08102291173,0.07382434252
0.465,0.2800946801,0.2705799949,0.0799005615,0.07259962231
0.47,0.278629184,0.2683671184,0.07871209442,0.07162545186
0.475,0.2768614682,0.2665522716,0.07736297523,0.07034240666
0.48,0.2750137043,0.2644832975,0.0762757681,0.06946129376
0.485,0.2735614194,0.2633249735,0.07514800395,0.06839353954
0.49,0.2718860054,0.2612521823,0.0738969363,0.06718697785
0.495,0.2698089551,0.2600215496,0.07282989952,0.06649722327
0.5,0.2686524848,0.2582970933,0.07192917772,0.0654507742
0.505,0.2663062948,0.25681554,0.07075569251,0.0645239668
0.51,0.264699181,0.2547975758,0.06988082843,0.0635252633
0.515,0.2626759712,0.2527313099,0.06876896518,0.06270749288
0.52,0.2603497154,0.2509875149,0.06768914744,0.06178297779
0.525,0.2593201629,0.250225015,0.06669968722,0.06097963018
0.53,0.2583149592,0.2479008175,0.06570817132,0.05991902993
0.535,0.2554100635,0.2460016718,0.06474027749,0.05924208514
0.54,0.2537366613,0.2454483139,0.06356208085,0.05828974936
0.545,0.2523112626,0.244340889,0.06255499474,0.05766357268
0.55,0.250169292,0.2414962825,0.06171957866,0.05670702463
0.555,0.2490586243,0.2394780523,0.06086383277,0.05593959434
0.56,0.2478010147,0.2387460613,0.05991381377,0.05505076138
0.565,0.2455932524,0.2371260105,0.05884988699,0.05429563851
0.57,0.2447768708,0.2345036427,0.05788402389,0.05336858161
0.575,0.2429162324,0.2326038205,0.0570860906,0.05254044102
0.58,0.2412742502,0.2308979827,0.05619063262,0.0518032169
0.585,0.2399480785,0.2302074894,0.05547310364,0.05092823873
0.59,0.2392892156,0.2295826132,0.05484073366,0.05014116865
0.595,0.237484582,0.2269922617,0.05403769207,0.04963065735
0.6,0.2368661769,0.2263628943,0.05356097,0.04904958596
0.605,0.2356013199,0.2249064306,0.05274917242,0.04820783873
0.61,0.2327017299,0.2236216074,0.05185467914,0.0476452712
0.615,0.2313112947,0.2220342888,0.05089719995,0.04688700477
0.62,0.2309363225,0.2209360089,0.05045018306,0.04634194778
0.625,0.2293932925,0.2196534744,0.04979517983,0.04575967635
0.63,0.2274249633,0.2178664829,0.04894712188,0.04518231587
0.635,0.2251630488,0.216164849,0.04837103714,0.04430037806
0.64,0.2228382743,0.2138621698,0.0477206082,0.04350657239
0.645,0.2207343873,0.2123807049,0.0467823177,0.04287075968
0.65,0.2204208408,0.2108425037,0.04625573196,0.04233137987
0.655,0.2190432042,0.2101248904,0.0456880303,0.04177631239
0.66,0.2173728749,0.2085269823,0.04496155646,0.0411720135
0.665,0.2160134178,0.2073028059,0.04434604973,0.04048141019
0.67,0.2143101083,0.2059995434,0.04393807104,0.03998862212
0.675,0.2125975607,0.2036095335,0.04337292808,0.03927456046
0.68,0.2112978699,0.2026632469,0.0427506616,0.03872505746
0.685,0.2125955543,0.2014450397,0.04209544703,0.03820870253
0.69,0.2085042242,0.1996011112,0.04138679003,0.0375779471
0.695,0.207356417,0.1972880453,0.04084703614,0.03703725302
0.7,0.2062689032,0.1959580575,0.04033042119,0.03631998961
0.705,0.2051771053,0.1956867342,0.03972644775,0.03605565696
0.71,0.2040712471,0.1940698714,0.03918496645,0.03546141207
0.715,0.2034355535,0.1927341132,0.03872636856,0.03502031914
0.72,0.2025313589,0.1927019422,0.03831053821,0.03464467511
0.725,0.201813443,0.1915352195,0.03783471682,0.0341353269
0.73,0.2002970987,0.1898889078,0.03725811605,0.03370953732
0.735,0.1997702239,0.1895607545,0.03691393743,0.03330898097
0.74,0.19841457,0.1872187021,0.03638260843,0.03273099677
0.745,0.1959027776,0.1880203597,0.03554936366,0.0326073324
0.75,0.1939127628,0.1855345555,0.03478826116,0.032056704
0.755,0.1939923296,0.1856226692,0.03456404616,0.03166424333
0.76,0.1926401533,0.1824825125,0.03401809671,0.03103325547
0.765,0.193502148,0.1827371499,0.0338186883,0.03091171328
0.77,0.1902616667,0.1809866775,0.03321922301,0.03027516322
0.775,0.1895398208,0.1806562484,0.03296569109,0.02997836799
0.78,0.1882714613,0.1799090085,0.03253827919,0.02964988947
0.785,0.1883702433,0.1786189211,0.03227436025,0.02912906043
0.79,0.186758487,0.1773114807,0.03195062695,0.02867819316
0.795,0.1855353552,0.1765043234,0.03135262437,0.02836137091
0.8,0.1842065262,0.1759955053,0.03085918078,0.02807759604
0.805,0.1821363655,0.1746471065,0.03040290248,0.02762462043
0.81,0.1831575687,0.173122569,0.03004167048,0.02720484502
0.815,0.1794399039,0.1708884305,0.02961767776,0.02673758322
0.82,0.1787752575,0.1714199089,0.02906648919,0.02650869265
0.825,0.1774165858,0.1681921705,0.02877460177,0.02608663169
0.83,0.1766829102,0.1682983336,0.02831293339,0.02582082684
0.835,0.1754934697,0.167780611,0.02787687798,0.02545319381
0.84,0.1733902756,0.1656260579,0.02771226943,0.02514965412
0.845,0.1733971937,0.1647189125,0.02747597309,0.02485421269
0.85,0.1720928214,0.162995359,0.02692186604,0.02437804923
0.855,0.1717973427,0.164460206,0.02657720915,0.02436494603
0.86,0.170397716,0.1629372169,0.02613682665,0.02396397445
0.865,0.167881292,0.1622220849,0.02570780572,0.02356551991
0.87,0.1687406467,0.1616511075,0.02551618167,0.02337008015
0.875,0.1662503911,0.160164599,0.02518201552,0.02289453325
0.88,0.1652544811,0.1588061423,0.02480020595,0.0226076174
0.885,0.1653343593,0.158041201,0.02453356441,0.02235167458
0.89,0.1634622649,0.1574502142,0.02400701235,0.02203321049
0.895,0.1627024202,0.156599266,0.02391889751,0.02167442938
0.9,0.1619473048,0.1545635292,0.02358170073,0.02138499863
0.905,0.1602740062,0.154327793,0.02319825571,0.02111508641
0.91,0.1594634694,0.1513349233,0.02293373098,0.0206870436
0.915,0.1576404616,0.1521384334,0.02258504948,0.02052669905
0.92,0.1560849711,0.1497543277,0.02212695675,0.02010627975
0.925,0.1569488943,0.1492960997,0.02199861915,0.01991508533
0.93,0.1553415068,0.1473551246,0.02164615915,0.0196223015
0.935,0.1527765662,0.1466190193,0.02114591964,0.01936696365
0.94,0.1502467364,0.1458731844,0.02086750697,0.01902173219
0.945,0.1511897502,0.1457729952,0.02074732636,0.01880708954
0.95,0.1510390851,0.1442109189,0.02054340603,0.018532682
0.955,0.1479818315,0.1440687596,0.0199726087,0.01839464158
0.96,0.1479585718,0.1429955819,0.01976441678,0.01822683811
0.965,0.148121634,0.1428994395,0.01960669039,0.01796453356
0.97,0.1470778379,0.1416495578,0.01936249487,0.01773669987
0.975,0.1467013289,0.1401418143,0.01904716374,0.01751719548
0.98,0.1460237476,0.1399159582,0.01872856348,0.01723789554
0.985,0.1454460338,0.1400659026,0.01856945962,0.01718659393
0.99,0.1444148259,0.1392830037,0.01831295441,0.01702812494
0.995,0.1412856333,0.1381378437,0.01778021202,0.01677381906
1,0.140876086,0.1367760617,0.01745762044,0.01648044559
