t,max_gap_hot_minus_cold,min_gap_hot_minus_cold,hot_dominates_cold,curves_cross
0,0.08393432493,0,1,0
0.5,0.0784369937,0,1,0
1,0.07329946409,0,1,0
1.5,0.06849818698,0,1,0
2,0.06401115457,0,1,0
2.5,0.05981779948,0,1,0
3,0.05589890046,0,1,0
3.5,0.05223649429,0,1,0
4,0.04881379345,0,1,0
4.5,0.04561510918,0,1,0
5,0.04262577954,0,1,0
5.5,0.03983210222,0,1,0
6,0.03722127173,0,1,0
6.5,0.0347813207,0,1,0
7,0.03250106503,0,1,0
7.5,0.03037005263,0,1,0
8,0.02837851549,-9.324069434e-05,0,1
8.5,0.02651732491,-0.001953425631,0,1
9,0.02477794969,-0.00369186103,0,1
9.5,0.02315241699,-0.005316515429,0,1
10,0.02163327577,-0.006834835818,0,1
10.5,0.02021356271,-0.008253781785,0,1
11,0.01888677019,-0.009579857407,0,1
11.5,0.01764681655,-0.01081914107,0,1
12,0.01648801817,-0.01197731333,0,1
12.5,0.01540506341,-0.01305968295,0,1
13,0.01439298829,-0.01407121122,0,1
13.5,0.01344715372,-0.01501653473,0,1
14,0.01256322425,-0.0158999866,0,1
14.5,0.01173714816,-0.01672561634,0,1
15,0.01096513895,-0.01749720842,0,1
15.5,0.01024365792,-0.01821829961,0,1
16,0.009569397986,-0.01889219522,0,1
16.5,0.008939268526,-0.01952198421,0,1
17,0.008350381186,-0.02011055336,0,1
17.5,0.007800036658,-0.02066060052,0,1
18,0.007285712309,-0.02117464697,0,1
18.5,0.006805050607,-0.02165504896,0,1
19,0.006355848326,-0.02210400852,0,1
19.5,0.005936046438,-0.02252358358,0,1
20,0.005543720682,-0.02291569735,0,1
20.5,0.005177072737,-0.02328214718,0,1
21,0.004834421986,-0.02362461279,0,1
21.5,0.004514197806,-0.02394466394,0,1
22,0.004214932373,-0.02424376767,0,1
22.5,0.003935253933,-0.02452329499,0,1
23,0.003673880511,-0.02478452718,0,1
23.5,0.003429614041,-0.02502866167,0,1
24,0.003201334868,-0.02525681749,0,1
24.5,0.002987996619,-0.02547004047,0,1
25,0.002788621409,-0.02566930795,0,1
25.5,0.002602295353,-0.02585553332,0,1
26,0.00242816438,-0.02602957021,0,1
26.5,0.002265430321,-0.02619221633,0,1
27,0.002113347243,-0.02634421723,0,1
27.5,0.001971218038,-0.02648626964,0,1
28,0.001838391222,-0.02661902468,0,1
28.5,0.001714257953,-0.02674309087,0,1
29,0.001598249234,-0.02685903691,0,1
29.5,0.001489833314,-0.02696739424,0,1
30,0.00138851324,-0.02706865957,0,1
30.5,0.001293824589,-0.02716329705,0,1
31,0.001205333333,-0.02725174049,0,1
31.5,0.001122633849,-0.02733439529,0,1
32,0.001045347066,-0.0274116403,0,1
32.5,0.0009731187212,-0.02748382962,0,1
33,0.0009056177381,-0.02755129413,0,1
33.5,0.00084253471,-0.02761434306,0,1
34,0.0007835804808,-0.02767326543,0,1
34.5,0.0007284848196,-0.02772833132,0,1
35,0.0006769951823,-0.02777979313,0,1
35.5,0.0006288755537,-0.02782788676,0,1
36,0.0005839053659,-0.02787283264,0,1
36.5,0.0005418784875,-0.02791483681,0,1
37,0.000502602278,-0.02795409179,0,1
37.5,0.0004658967055,-0.02799077753,0,1
38,0.0004315935213,-0.02802506217,0,1
38.5,0.0003995354885,-0.02805710288,0,1
39,0.0003695756614,-0.02808704652,0,1
39.5,0.0003415767119,-0.02811503033,0,1
40,0.0003154103002,-0.0281411826,0,1
40.5,0.0002909564862,-0.0281656232,0,1
41,0.0002681031801,-0.02818846415,0,1
41.5,0.0002467456281,-0.02820981016,0,1
42,0.0002267859329,-0.02822975906,0,1
42.5,0.0002081326044,-0.02824840231,0,1
43,0.0001907001405,-0.02826582535,0,1
43.5,0.0001744086355,-0.02828210805,0,1
44,0.0001591834133,-0.02829732504,0,1
44.5,0.0001449546854,-0.02831154607,0,1
45,0.0001316572311,-0.02832483634,0,1
45.5,0.0001192300982,-0.02833725675,0,1
46,0.0001076163241,-0.02834886425,0,1
46.5,9.676267419e-05,-0.02835971203,0,1
47,8.66193982e-05,-0.02836984982,0,1
47.5,7.714000198e-05,-0.02837932409,0,1
48,6.828103445e-05,-0.02838817827,0,1
48.5,6.00018884e-05,-0.02839645293,0,1
49,5.226461439e-05,-0.02840418602,0,1
49.5,4.503374676e-05,-0.02841141298,0,1
50,3.82761411e-05,-0.02841816693,0,1
50.5,3.196082231e-05,-0.02842447883,0,1
51,2.60588426e-05,-0.02843037762,0,1
51.5,2.054314883e-05,-0.02843589033,0,1
52,1.538845851e-05,-0.02844104223,0,1
52.5,1.057114386e-05,-0.02844585693,0,1
53,6.069123583e-06,-0.02845035652,0,1
53.5,1.861761579e-06,-0.0284545616,0,1
54,0,-0.02845849146,0,0
54.5,0,-0.02846216411,0,0
55,0,-0.02846559638,0,0
55.5,0,-0.02846880401,0,0
56,0,-0.0284718017,0,0
56.5,0,-0.02847460319,0,0
57,0,-0.02847722133,0,0
57.5,0,-0.0284796681,0,0
58,0,-0.02848195473,0,0
58.5,0,-0.0284840917,0,0
59,0,-0.02848608881,0,0
59.5,0,-0.0284879552,0,0
60,0,-0.02848969944,0,0
60.5,0,-0.02849132952,0,0
61,0,-0.0284928529,0,0
61.5,0,-0.02849427658,0,0
62,0,-0.02849560708,0,0
62.5,0,-0.0284968505,0,0
63,0,-0.02849801254,0,0
63.5,0,-0.02849909852,0,0
64,0,-0.02850011342,0,0
64.5,0,-0.0285010619,0,0
65,0,-0.0285019483,0,0
65.5,0,-0.02850277668,0,0
66,0,-0.02850355085,0,0
66.5,0,-0.02850427434,0,0
67,0,-0.02850495048,0,0
67.5,0,-0.02850558237,0,0
68,0,-0.0285061729,0,0
68.5,0,-0.02850672478,0,0
69,0,-0.02850724054,0,0
69.5,0,-0.02850772254,0,0
70,0,-0.028508173,0,0
70.5,0,-0.02850859397,0,0
71,0,-0.02850898739,0,0
71.5,0,-0.02850935506,0,0
72,0,-0.02850969866,0,0
72.5,0,-0.02851001978,0,0
73,0,-0.02851031988,0,0
73.5,0,-0.02851060033,0,0
74,0,-0.02851086243,0,0
74.5,0,-0.02851110738,0,0
75,0,-0.02851133629,0,0
75.5,0,-0.02851155022,0,0
76,0,-0.02851175015,0,0
76.5,0,-0.02851193699,0,0
77,0,-0.02851211161,0,0
77.5,0,-0.02851227479,0,0
78,0,-0.0285124273,0,0
78.5,0,-0.02851256982,0,0
79,0,-0.02851270301,0,0
79.5,0,-0.02851282749,0,0
80,0,-0.02851294382,0,0
