t,D_L1,D_KL,D_e
0,0.9488414469,2.899841373,2.899841373
0.1,0.9428974509,2.86006192,2.86006192
0.2,0.937033383,2.820878228,2.820878228
0.3,0.9312481683,2.782281041,2.782281041
0.4,0.9255407465,2.74426126,2.74426126
0.5,0.9199100716,2.706809944,2.706809944
0.6,0.9143551116,2.669918301,2.669918301
0.7,0.9088748483,2.633577689,2.633577689
0.8,0.9034682772,2.59777961,2.59777961
0.9,0.8981344076,2.56251571,2.56251571
1,0.8928722616,2.527777774,2.527777774
1.1,0.887680875,2.493557725,2.493557725
1.2,0.8825592962,2.459847618,2.459847618
1.3,0.8775065865,2.426639639,2.426639639
1.4,0.8725218198,2.393926106,2.393926106
1.5,0.8676040826,2.361699461,2.361699461
1.6,0.8627524734,2.329952268,2.329952268
1.7,0.8579661031,2.298677217,2.298677217
1.8,0.8532440945,2.267867112,2.267867112
1.9,0.8485855819,2.237514879,2.237514879
2,0.8439897117,2.207613553,2.207613553
2.1,0.8394556415,2.178156286,2.178156286
2.2,0.8349825403,2.149136339,2.149136339
2.3,0.8305695882,2.12054708,2.12054708
2.4,0.8262159764,2.092381985,2.092381985
2.5,0.821920907,2.064634634,2.064634634
2.6,0.8176835927,2.037298708,2.037298708
2.7,0.813503257,2.010367991,2.010367991
2.8,0.8093791336,1.983836364,1.983836364
2.9,0.8053104667,1.957697805,1.957697805
3,0.8012965106,1.93194639,1.93194639
3.1,0.7973365295,1.906576285,1.906576285
3.2,0.7934297977,1.88158175,1.88158175
3.3,0.7895755992,1.856957134,1.856957134
3.4,0.7857732275,1.832696877,1.832696877
3.5,0.7820219857,1.808795505,1.808795505
3.6,0.7783211863,1.785247628,1.785247628
3.7,0.774670151,1.762047943,1.762047943
3.8,0.7710682107,1.739191229,1.739191229
3.9,0.7675147051,1.716672344,1.716672344
4,0.764008983,1.69448623,1.69448623
4.1,0.7605504018,1.672627905,1.672627905
4.2,0.7571383276,1.651092464,1.651092464
4.3,0.7537721351,1.62987508,1.62987508
4.4,0.7504512073,1.608970999,1.608970999
4.5,0.7471749355,1.58837554,1.58837554
4.6,0.7439427192,1.568084096,1.568084096
4.7,0.7407539661,1.54809213,1.54809213
4.8,0.7376080916,1.528395175,1.528395175
4.9,0.7345045193,1.508988833,1.508988833
5,0.7314426803,1.489868772,1.489868772
5.1,0.7284220133,1.471030729,1.471030729
5.2,0.7254419648,1.452470504,1.452470504
5.3,0.7225019886,1.434183963,1.434183963
5.4,0.7196015458,1.416167033,1.416167033
5.5,0.7167401048,1.398415706,1.398415706
5.6,0.7139171412,1.380926032,1.380926032
5.7,0.7111321376,1.363694125,1.363694125
5.8,0.7083845835,1.346716155,1.346716155
5.9,0.7056739754,1.329988351,1.329988351
6,0.7029998164,1.313507001,1.313507001
6.1,0.7003616164,1.297268446,1.297268446
6.2,0.6977588919,1.281269086,1.281269086
6.3,0.6951911658,1.265505374,1.265505374
6.4,0.6926579676,1.249973817,1.249973817
