t,D_L1,D_KL,D_e
0,1.008557431,3.470261367,3.470261367
0.1,1.001424198,3.421603986,3.421603986
0.2,0.9943868839,3.373681345,3.373681345
0.3,0.9874441999,3.326481752,3.326481752
0.4,0.9805948731,3.279993732,3.279993732
0.5,0.9738376482,3.234206017,3.234206017
0.6,0.9671712867,3.189107543,3.189107543
0.7,0.9605945667,3.144687445,3.144687445
0.8,0.954106283,3.10093505,3.10093505
0.9,0.9477052462,3.057839875,3.057839875
1,0.9413902832,3.015391622,3.015391622
1.1,0.9351602366,2.973580173,2.973580173
1.2,0.9290139645,2.932395587,2.932395587
1.3,0.9229503405,2.891828095,2.891828095
1.4,0.916968253,2.851868095,2.851868095
1.5,0.9110666058,2.812506153,2.812506153
1.6,0.9052443172,2.773732995,2.773732995
1.7,0.8995003201,2.735539504,2.735539504
1.8,0.8938335616,2.697916718,2.697916718
1.9,0.8882430032,2.660855828,2.660855828
2,0.8827276202,2.624348172,2.624348172
2.1,0.8772864017,2.588385231,2.588385231
2.2,0.8719183505,2.552958632,2.552958632
2.3,0.8666224827,2.518060139,2.518060139
2.4,0.8613978276,2.483681654,2.483681654
2.5,0.8562434277,2.44981521,2.44981521
2.6,0.8511583383,2.416452975,2.416452975
2.7,0.8461416273,2.383587243,2.383587243
2.8,0.8411923753,2.351210434,2.351210434
2.9,0.8363096751,2.319315094,2.319315094
3,0.8314926318,2.287893887,2.287893887
3.1,0.8267403627,2.2569396,2.2569396
3.2,0.8220519966,2.226445134,2.226445134
3.3,0.8174266742,2.196403504,2.196403504
3.4,0.8128635479,2.16680784,2.16680784
3.5,0.8083617813,2.137651382,2.137651382
3.6,0.8039205492,2.108927475,2.108927475
3.7,0.7995390378,2.080629575,2.080629575
3.8,0.7952164439,2.052751239,2.052751239
3.9,0.7909519752,2.025286129,2.025286129
4,0.7867448503,1.998228005,1.998228005
4.1,0.7825942979,1.971570729,1.971570729
4.2,0.7784995574,1.945308258,1.945308258
4.3,0.7744598782,1.919434645,1.919434645
4.4,0.7704745201,1.893944036,1.893944036
4.5,0.7665427524,1.868830671,1.868830671
4.6,0.7626638547,1.844088879,1.844088879
4.7,0.7588371159,1.819713078,1.819713078
4.8,0.7550618347,1.795697774,1.795697774
4.9,0.7513373191,1.772037558,1.772037558
5,0.7476628866,1.748727105,1.748727105
5.1,0.7440378636,1.725761175,1.725761175
5.2,0.7404615857,1.703134609,1.703134609
5.3,0.7369333975,1.680842325,1.680842325
5.4,0.7334526524,1.658879324,1.658879324
5.5,0.7300187123,1.637240683,1.637240683
5.6,0.7266309479,1.615921553,1.615921553
5.7,0.7232887383,1.594917163,1.594917163
5.8,0.7199914708,1.574222814,1.574222814
5.9,0.7167385413,1.553833879,1.553833879
