t,p_1,QFI,trace_distance
0,0.2227001388,0,0.04624128254
0.02,0.2246587297,0.0005693364993,0.04428269162
0.04,0.2265343628,0.002153746598,0.04240705857
0.06,0.2283305517,0.004586185457,0.04061086964
0.08,0.2300506615,0.00772154131,0.03889075989
0.1,0.2316979144,0.01143382407,0.03724350694
0.12,0.2332753965,0.01561373308,0.03566602486
0.14,0.2347860629,0.0201665483,0.03415535844
0.16,0.2362327437,0.025010298,0.03270867766
0.18,0.237618149,0.03007416387,0.03132327233
0.2,0.2389448743,0.03529709035,0.02999654709
0.22,0.2402154049,0.04062657007,0.02872601648
0.24,0.241432121,0.04601758174,0.02750930033
0.26,0.2425973021,0.05143165999,0.02634411929
0.28,0.2437131308,0.05683608003,0.02522829053
0.3,0.2447816977,0.06220314212,0.0241597237
0.32,0.2458050044,0.06750954305,0.02313641697
0.34,0.2467849681,0.07273582376,0.02215645331
0.36,0.2477234245,0.07786588343,0.0212179969
0.38,0.2486221317,0.08288655189,0.02031928964
0.4,0.2494827734,0.0877872132,0.01945864794
0.42,0.2503069619,0.09255947406,0.01863445948
0.44,0.2510962411,0.09719687187,0.01784518027
0.46,0.2518520897,0.1016946175,0.01708933168
0.48,0.2525759236,0.1060493685,0.01636549773
0.5,0.2532690989,0.1102590301,0.01567232243
0.52,0.2539329142,0.1143225786,0.01500850718
0.54,0.254568613,0.1182399078,0.01437280842
0.56,0.2551773861,0.122011692,0.01376403525
0.58,0.2557603742,0.125639267,0.01318104721
0.6,0.2563186692,0.1291245249,0.01262275216
0.62,0.2568533172,0.1324698219,0.01208810419
0.64,0.2573653197,0.1356778976,0.01157610171
0.66,0.2578556358,0.1387518042,0.01108578556
0.68,0.2583251842,0.1416948447,0.01061623719
0.7,0.2587748444,0.1445105191,0.01016657696
0.72,0.2592054589,0.1472024774,0.009735962488
0.74,0.2596178343,0.1497744788,0.00932358708
0.76,0.2600127432,0.1522303566,0.008928678202
0.78,0.2603909253,0.1545739874,0.008550496043
0.8,0.2607530892,0.1568092652,0.008188332127
0.82,0.2610999134,0.1589400787,0.007841507989
0.84,0.2614320475,0.1609702925,0.007509373898
0.86,0.2617501137,0.1629037304,0.007191307643
0.88,0.262054708,0.1647441623,0.006886713369
0.9,0.2623464009,0.1664952925,0.006595020459
0.92,0.2626257389,0.1681607504,0.006315682462
0.94,0.2628932453,0.1697440829,0.006048176077
0.96,0.2631494212,0.1712487484,0.005792000164
0.98,0.2633947466,0.1726781118,0.005546674812
1,0.2636296809,0.174035441,0.005311740434
1.02,0.2638546645,0.1753239044,0.005086756912
1.04,0.2640701186,0.1765465692,0.004871302769
1.06,0.264276447,0.1777064002,0.004664974379
1.08,0.2644740362,0.1788062598,0.004467385213
1.1,0.2646632563,0.1798489079,0.004278165112
1.12,0.2648444618,0.1808370032,0.004096959599
1.14,0.2650179922,0.1817731038,0.003923429207
1.16,0.2651841725,0.1826596687,0.00375724885
1.18,0.2653433142,0.1834990601,0.003598107211
1.2,0.2654957152,0.1842935448,0.003445706159
1.22,0.2656416612,0.1850452966,0.003299760189
1.24,0.2657814255,0.1857563988,0.003159995892
1.26,0.2659152699,0.1864288463,0.003026151437
1.28,0.2660434453,0.1870645485,0.002897976083
1.3,0.2661661917,0.1876653319,0.002775229712
1.32,0.266283739,0.1882329421,0.002657682373
1.34,0.2663963075,0.1887690476,0.002545113856
1.36,0.2665041081,0.1892752415,0.00243731328
1.38,0.2666073427,0.1897530444,0.002334078694
1.4,0.2667062047,0.1902039075,0.002235216701
1.42,0.2668008793,0.1906292147,0.002140542097
1.44,0.2668915439,0.1910302854,0.00204987752
1.46,0.2669783682,0.1914083769,0.001963053122
1.48,0.2670615151,0.1917646871,0.00187990625
1.5,0.2671411402,0.1921003567,0.001800281137
1.52,0.2672173928,0.1924164718,0.001724028618
1.54,0.2672904155,0.1927140658,0.001651005842
1.56,0.2673603454,0.1929941221,0.001581076012
1.58,0.2674273132,0.1932575759,0.001514108122
1.6,0.2674914447,0.1935053166,0.001449976716
1.62,0.2675528597,0.1937381894,0.001388561654
1.64,0.2676116735,0.1939569978,0.001329747882
1.66,0.2676679961,0.1941625051,0.00127342522
1.68,0.2677219332,0.1943554362,0.001219488155
1.7,0.2677735857,0.1945364797,0.001167835642
1.72,0.2678230505,0.1947062891,0.001118370918
1.74,0.2678704201,0.1948654849,0.001071001317
1.76,0.2679157833,0.1950146558,0.001025638097
1.78,0.2679592251,0.1951543604,0.0009821962771
1.8,0.2680008269,0.1952851284,0.0009405944744
1.82,0.2680406666,0.1954074623,0.0009007547533
1.84,0.2680788189,0.1955218384,0.0008626024793
1.86,0.2681153552,0.1956287083,0.0008260661789
1.88,0.268150344,0.1957284998,0.0007910774063
1.9,0.2681838508,0.1958216185,0.0007575706145
