t,p_1,QFI,trace_distance
0,0.4174297935,0,0.1484883722
0.02,0.4111404356,3.946147878e-05,0.1421990142
0.04,0.405117469,0.0001632678176,0.1361760477
0.06,0.3993496106,0.0003787994703,0.1304081892
0.08,0.393826055,0.0006924316269,0.1248846336
0.1,0.3885364545,0.001109541915,0.1195950332
0.12,0.3834708998,0.001634528778,0.1145294785
0.14,0.3786199012,0.002270838796,0.1096784799
0.16,0.373974371,0.003021001426,0.1050329496
0.18,0.3695256064,0.003886669802,0.100584185
0.2,0.3652652732,0.004868666381,0.09632385181
0.22,0.3611853902,0.005967032369,0.09224396883
0.24,0.3572783143,0.007181079933,0.08833689294
0.26,0.3535367261,0.008509446361,0.08459530475
0.28,0.3499536163,0.009950149381,0.08101219488
0.3,0.3465222722,0.01150064297,0.07758085084
0.32,0.3432362658,0.01315787304,0.07429484444
0.34,0.3400894412,0.01491833246,0.07114801979
0.36,0.3370759031,0.01677811502,0.06813448171
0.38,0.3341900061,0.01873296781,0.06524858473
0.4,0.3314263439,0.0207783419,0.06248492251
0.42,0.328779739,0.02290944078,0.05983831767
0.44,0.3262452335,0.02512126657,0.05730381215
0.46,0.3238180793,0.0274086637,0.05487665788
0.48,0.3214937293,0.02976635996,0.05255230791
0.5,0.3192678292,0.03218900489,0.05032640786
0.52,0.3171362092,0.03467120531,0.04819478779
0.54,0.3150948758,0.03720755815,0.04615345441
0.56,0.3131400049,0.03979268051,0.04419858352
0.58,0.3112679343,0.04242123688,0.04232651295
0.6,0.309475157,0.04508796384,0.04053373559
0.62,0.3077583143,0.04778769199,0.03881689293
0.64,0.30611419,0.05051536551,0.03717276868
0.66,0.3045397042,0.05326605919,0.03559828278
0.68,0.303031907,0.05603499326,0.03409048564
0.7,0.301587974,0.05881754595,0.0326465526
0.72,0.3002052,0.06160926411,0.03126377864
0.74,0.2988809947,0.06440587182,0.0299395733
0.76,0.2976128772,0.06720327725,0.02867145587
0.78,0.2963984721,0.06999757788,0.02745705069
0.8,0.2952355041,0.07278506416,0.02629408272
0.82,0.2941217947,0.07556222181,0.02518037331
0.84,0.2930552574,0.07832573282,0.02411383605
0.86,0.2920338943,0.08107247537,0.02309247294
0.88,0.2910557919,0.08379952262,0.02211437057
0.9,0.290119118,0.08650414065,0.0211776966
0.92,0.2892221177,0.0891837856,0.0202806963
0.94,0.2883631106,0.09183610004,0.01942168925
0.96,0.2875404876,0.09445890878,0.01859906622
0.98,0.2867527075,0.09705021413,0.01781128612
1,0.2859982945,0.09960819071,0.01705687315
1.02,0.2852758354,0.1021311799,0.01633441401
1.04,0.2845839767,0.1046176839,0.01564255528
1.06,0.2839214222,0.1070663598,0.01498000085
1.08,0.2832869309,0.1094760133,0.0143455095
1.1,0.282679314,0.1118455921,0.0137378926
1.12,0.2820974332,0.1141741797,0.01315601186
1.14,0.2815401986,0.1164609888,0.0125987772
1.16,0.2810065661,0.1187053546,0.01206514471
1.18,0.2804955361,0.1209067288,0.01155411471
1.2,0.2800061512,0.123064673,0.01106472983
1.22,0.2795374947,0.1251788521,0.01059607329
1.24,0.2790886885,0.1272490287,0.01014726712
1.26,0.2786588919,0.1292750567,0.009717470539
1.28,0.2782472997,0.1312568755,0.009305878374
1.3,0.2778531409,0.1331945045,0.008911719564
