t,T_mean_C,T_skin_C,T_bulk_C,enthalpy_J,mass_kg,rms_dist_to_bath_C
0,30,30,30,12380.3903,0.09875081997,48
10,29.89074531,28.02078567,29.95522668,12341.98284,0.09875356061,47.89240446
20,29.65570263,26.04890492,29.78007497,12251.42008,0.09875984605,47.66474139
30,29.3019449,24.15961383,29.47926666,12111.31914,0.09876927953,47.32699624
40,28.83438097,22.34834766,29.05803729,11923.68671,0.09878152575,46.88586657
50,28.25765684,20.61189272,28.52130388,11690.42503,0.09879627445,46.34678422
60,27.57742841,18.94645844,27.87504807,11413.8641,0.09881320046,45.71536116
70,26.79668096,17.35009224,27.1224254,11095.2289,0.09883207444,44.99363809
80,25.91953392,15.82005618,26.26779177,10736.22236,0.09885264709,44.18403325
90,24.94994441,14.35371498,25.31533163,10338.48476,0.09887468733,43.28803576
100,23.89171327,12.94853213,24.26906434,9903.595488,0.09889798121,42.30619317
110,22.74849455,11.60206641,23.13285414,9433.076271,0.09892233083,41.23806824
120,21.52393741,10.31196849,21.91055702,8928.449336,0.0989475493,40.08231323
130,20.22293383,9.075977749,20.60731163,8391.753284,0.09897342234,38.83808814
140,18.85552039,7.891919131,19.23357561,7827.157581,0.0989995904,37.5101244
150,17.44106904,6.757700126,17.80946107,7242.698183,0.09902542685,36.11522241
160,16.00691039,5.67130787,16.36331047,6649.712807,0.09905009749,34.68241328
170,14.58115872,4.630806335,14.92427432,6059.878232,0.09907280314,33.24471891
180,13.18581078,3.634333609,13.51517206,5482.354571,0.09909299628,31.82963635
190,11.83433737,2.680099272,12.15000075,4922.780429,0.09911043335,30.4548392
200,10.53308025,1.76638185,10.8353802,4383.841412,0.09912510189,29.129166
210,9.283887968,0.8915263643,9.573279748,3866.355494,0.09913711985,27.85569163
220,8.08630005,0.05394195208,8.363277915,3370.175871,0.09914666141,26.63446718
230,6.938860232,-0.7479004329,7.203920944,2894.735347,0.09915391676,25.46421368
240,5.839761155,-1.515470244,6.093389824,2439.314495,0.09915907432,24.34316496
250,4.787116753,-2.250179493,5.02978214,2003.155536,0.0991623142,23.26942676
260,3.779063792,-2.953384832,4.011217192,1585.50528,0.0991638063,22.24111169
270,2.813795224,-3.626389568,3.035870561,1185.629647,0.09916371017,21.25638425
280,1.889569107,-4.270445609,2.101983408,802.8179661,0.09916217522,20.31347349
290,1.00470955,-4.886755349,1.207863512,436.38389,0.09915934127,19.41067504
300,0.1576052634,-5.476473489,0.3518838411,85.66524763,0.099155339,18.54635002
310,-0.6532925152,-6.040708801,-0.4675195398,-249.9764142,0.09915029036,17.71892292
320,-1.429472217,-6.580525831,-1.251849678,-571.1563876,0.09914430911,16.9268795
330,-2.172364109,-7.096946542,-2.002550922,-878.4673926,0.09913750115,16.16876452
340,-2.883342408,-7.590951913,-2.721011046,-1172.480181,0.09912996501,15.44317967
350,-3.563727321,-8.063483472,-3.408563315,-1453.744145,0.09912179216,14.74878143
360,-4.214787017,-8.515444784,-4.066488473,-1722.787931,0.09911306746,14.08427914
370,-4.837739545,-8.947702888,-4.696016671,-1980.120049,0.09910386944,13.44843303
380,-5.433754673,-9.361089684,-5.298329328,-2226.229484,0.09909427071,12.84005235
390,-6.003955678,-9.756403274,-5.874560933,-2461.586306,0.09908433822,12.25799357
400,-6.549421067,-10.13440925,-6.425800785,-2686.642264,0.09907413364,11.70115863
