t,T_mean_C,T_skin_C,T_bulk_C,enthalpy_J,mass_kg,rms_dist_to_bath_C
0,95,95,95,38170.31351,0.09540372166,113
10,94.73836038,90.37917981,94.88867695,38084.84112,0.09541906842,112.7422444
20,94.18667698,85.83834536,94.47455048,37887.31176,0.09545390868,112.207486
30,93.36108675,81.48115812,93.77073946,37582.81391,0.09550661634,111.4183516
40,92.27217251,77.29505706,92.78862476,37174.79106,0.09557593087,110.3894597
50,90.93210508,73.27182454,91.54108027,36667.38074,0.09566053152,109.1348592
60,89.348168,69.40701565,90.03579395,36062.92906,0.09575948221,107.661634
70,87.5296731,65.69493828,88.28259499,35364.64276,0.09587174781,105.9770363
80,85.48561699,62.13009774,86.29097972,34575.67856,0.0959963538,104.0862117
90,83.22469034,58.70717933,84.07012176,33699.13833,0.09613238288,101.9922236
100,80.7552876,55.42104054,81.62888233,32738.06524,0.09627897174,99.69600702
110,78.08557641,52.26670507,78.97588232,31695.46353,0.0964353038,97.19631428
120,75.22435753,49.23935742,76.12039202,30574.62085,0.09660054731,94.4905214
130,72.1852644,46.33433783,73.07667566,29380.70701,0.09677356128,91.57962581
140,68.99528294,43.5471375,69.87280519,28124.02759,0.09695230408,88.47968952
150,65.70056132,40.87339407,66.55667054,26822.26684,0.09713344712,85.23204287
160,62.36112654,38.30888731,63.1905141,25498.54068,0.09731279334,81.90026493
170,59.03708149,35.84953497,59.83665206,24176.20743,0.09748630005,78.55414906
180,55.7763431,33.49138885,56.5447898,22874.19255,0.09765094798,75.25276689
190,52.6100256,31.23063099,53.3472461,21605.13706,0.097805012,72.03628847
200,49.55445025,29.06356996,50.26103232,20376.04774,0.09794784436,68.92688593
210,46.61582261,26.98663737,47.29269106,19190.00323,0.09807949125,65.93394648
220,43.79458543,24.99638436,44.44279926,18047.78663,0.0982003634,63.05941024
230,41.08836141,23.08947829,41.70901255,16949.01063,0.09831102661,60.30150923
240,38.4935883,21.26269951,39.08775688,15892.75412,0.09841209206,57.6568808
250,36.00507125,19.51205543,36.57379593,14877.37127,0.09850421134,55.1203385
260,33.62011878,17.83549612,34.16441611,13902.1804,0.09858791618,52.68918042
270,31.33477587,16.23011833,31.85562613,12965.93426,0.0986637623,50.35939747
280,29.14520129,14.69311972,29.64354893,12067.38536,0.09873227544,48.12708872
290,27.04768061,13.22179594,27.52443526,11205.2963,0.0987939522,45.98847998
300,25.03862745,11.81353787,25.49466502,10378.44489,0.09884926141,43.93992665
310,23.1145809,10.46582883,23.55074476,9585.627284,0.09889864555,41.97791162
320,21.27220203,9.176241902,21.68930411,8825.660269,0.09894252217,40.09904169
330,19.50827008,7.942437253,19.9070919,8097.38306,0.09898128523,38.3000438
340,17.81967876,6.76215958,18.20097252,7399.65879,0.09901530628,36.57776117
350,16.20343266,5.633235563,16.56792222,6731.375727,0.09904493569,34.92914963
360,14.65664376,4.553571387,15.00502557,6091.448252,0.09907050366,33.35127405
370,13.17652806,3.521150314,13.50947212,5478.817625,0.09909232131,31.84130487
380,11.7604023,2.534030303,12.07855306,4892.452579,0.0991106816,30.3965148
390,10.40568079,1.590341692,10.709658,4331.349733,0.09912586027,29.01427553
400,9.109872325,0.6882849151,9.40027189,3794.533866,0.09913811665,27.69205463
410,7.870577221,-0.1738717151,8.147972012,3281.05806,0.09914769451,26.42741248
420,6.685484383,-0.9977941866,6.950425023,2790.003733,0.09915482281,25.21799934
430,5.552368501,-1.785084911,5.805384136,2320.48056,0.09915971645,24.06155246
440,4.46908731,-2.537284801,4.710686348,1871.626322,0.09916257691,22.95589336
450,3.43357892,-3.255875295,3.664249755,1442.606661,0.09916359296,21.89892505
460,2.443859217,-3.942280338,2.664070926,1032.614767,0.09916294125,20.88862945
470,1.498019326,-4.597868309,1.708222348,640.8710123,0.09916078694,19.9230648
480,0.5942231456,-5.223953906,0.7948499405,266.6225276,0.09915728421,19.00036318
490,-0.2692950553,-5.821799978,-0.07782936829,-90.85726744,0.09915257688,18.11872805
500,-1.09423298,-6.392619315,-0.9115300031,-432.2691674,0.09914679886,17.27643189
510,-1.882222583,-6.937576385,-1.707900038,-758.2887176,0.09914007469,16.4718139
520,-2.634832286,-7.457789032,-2.468523433,-1069.566777,0.09913252001,15.70327777
530,-3.353569144,-7.954330122,-3.194922214,-1366.730101,0.09912424201,14.96928946
540,-4.039880939,-8.428229148,-3.888558587,-1650.381942,0.09911533989,14.26837508
550,-4.695158233,-8.880473786,-4.550837007,-1921.102664,0.09910590528,13.59911887
560,-5.320736353,-9.312011409,-5.183106178,-2179.450364,0.0990960226,12.96016112
570,-5.917897324,-9.723750563,-5.786661005,-2425.961498,0.09908576955,12.35019624
580,-6.487871756,-10.11656238,-6.362744493,-2661.151517,0.0990752174,11.76797089
590,-7.031840664,-10.491282,-6.912549584,-2885.515496,0.09906443139,11.21228206
600,-7.550937252,-10.84870984,-7.437220956,-3099.528768,0.09905347111,10.68197536
610,-8.046248629,-11.18961299,-7.937856754,-3303.647545,0.09904239077,10.1759432
620,-8.518817488,-11.5147264,-8.415510285,-3498.309548,0.0990312396,9.693123133
630,-8.969643734,-11.82475415,-8.87119165,-3683.934615,0.0990200621,9.232496205
640,-9.399686052,-12.1203706,-9.305869343,-3860.925311,0.09900889837,8.793085355
650,-9.809863444,-12.40222155,-9.720471785,-4029.667525,0.09899778441,8.373953871
660,-10.20105671,-12.67092537,-10.11588882,-4190.531055,0.09898675238,7.974203884
670,-10.57410987,-12.92707402,-10.49297318,-4343.870187,0.09897583083,7.592974919
680,-10.92983159,-13.17123413,-10.85254185,-4490.024255,0.09896504503,7.229442479
690,-11.26899649,-13.403948,-11.19537748,-4629.318192,0.09895441715,6.882816684
700,-11.59234648,-13.62573453,-11.52222965,-4762.06307,0.09894396649,6.552340948
710,-11.90059199,-13.8370902,-11.83381619,-4888.556623,0.09893370973,6.237290698
720,-12.19441323,-14.03848993,-12.13082438,-5009.083757,0.09892366112,5.936972139
730,-12.47446134,-14.23038799,-12.41391215,-5123.917047,0.09891383268,5.650721052
740,-12.74135955,-14.41321879,-12.68370923,-5233.317217,0.09890423436,5.37790164
750,-12.99570426,-14.58739775,-12.94081827,-5337.533611,0.09889487427,5.117905408
760,-13.23806613,-14.75332201,-13.18581592,-5436.804644,0.09888575878,4.870150083
770,-13.4689911,-14.91137125,-13.41925385,-5531.358243,0.09887689271,4.634078566
780,-13.68900139,-15.06190837,-13.64165977,-5621.412271,0.0988682795,4.409157931
790,-13.89859643,-15.20528018,-13.85353837,-5707.174936,0.09885992128,4.194878446
800,-14.09825381,-15.3418181,-14.05537229,-5788.845193,0.09885181906,3.990752637
810,-14.28843019,-15.47183882,-14.24762299,-5866.613124,0.09884397281,3.796314385
820,-14.46956209,-15.59564484,-14.43073165,-5940.660306,0.09883638159,3.611118048
830,-14.6420668,-15.71352517,-14.60511996,-6011.160174,0.09882904365,3.434737625
840,-14.80634312,-15.82575583,-14.77119096,-6078.278359,0.0988219565,3.266765943
850,-14.96277215,-15.93260044,-14.9293298,-6142.173018,0.09881511704,3.106813879
860,-15.11171803,-16.03431072,-15.07990449,-6202.995161,0.09880852162,2.954509604
870,-15.25352864,-16.13112705,-15.22326662,-6260.888948,0.09880216609,2.809497862
880,-15.38853629,-16.22327888,-15.35975206,-6315.991989,0.09879604592,2.671439276
890,-15.51705839,-16.3109853,-15.4896816,-6368.435625,0.09879015622,2.540009675
900,-15.63939808,-16.39445539,-15.61336162,-6418.345202,0.0987844918,2.41489945
910,-15.7558448,-16.47388874,-15.73108467,-6465.840333,0.09877904726,2.295812936
920,-15.86667495,-16.5494758,-15.84313009,-6511.035146,0.098773817,2.182467817
930,-15.97215236,-16.62139831,-15.94976457,-6554.038527,0.09876879525,2.074594553
940,-16.07252892,-16.6898297,-16.05124269,-6594.95435,0.09876397617,1.97193583
950,-16.16804504,-16.7549354,-16.14780745,-6633.881701,0.09875935381,1.874246033
960,-16.25893016,-16.81687325,-16.23969075,-6670.915086,0.0987549222,1.781290739
970,-16.34540324,-16.8757938,-16.32711391,-6706.144641,0.09875067536,1.69284623
980,-16.4276732,-16.93184065,-16.41028811,-6739.656321,0.09874660729,1.608699028
990,-16.50593937,-16.98515076,-16.48941484,-6771.532089,0.09874271205,1.528645444
1000,-16.58039192,-17.03585473,-16.56468631,-6801.850099,0.09873898373,1.452491151
1010,-16.65121225,-17.08407709,-16.63628588,-6830.68486,0.0987354165,1.380050769
1020,-16.71857339,-17.1299366,-16.70438845,-6858.107407,0.09873200461,1.311147475
1030,-16.78264035,-17.17354648,-16.76916083,-6884.185455,0.0987287424,1.245612617
1040,-16.8435705,-17.21501464,-16.83076208,-6908.983549,0.09872562431,1.183285356
1050,-16.90151391,-17.25444397,-16.8893439,-6932.563209,0.09872264491,1.124012317
1060,-16.95661364,-17.29193255,-16.94505092,-6954.983066,0.09871979887,1.067647255
1070,-17.00900612,-17.32757383,-16.99802103,-6976.298998,0.09871708099,1.014050736
1080,-17.05882139,-17.3614569,-17.04838568,-6996.56425,0.09871448623,0.963089832
1090,-17.1061834,-17.39366663,-17.09627019,-7015.829558,0.09871200966,0.9146378261
1100,-17.15121031,-17.42428393,-17.14179398,-7034.143263,0.09870964648,0.868573935
1110,-17.19401473,-17.45338586,-17.1850709,-7051.551422,0.09870739206,0.8247830388
1120,-17.23470398,-17.48104585,-17.22620943,-7068.09791,0.09870524189,0.7831554249
1130,-17.27338032,-17.50733386,-17.26531295,-7083.824526,0.09870319162,0.7435865422
1140,-17.31014119,-17.53231653,-17.30247997,-7098.771083,0.09870123702,0.7059767664
1150,-17.34507944,-17.55605733,-17.33780434,-7112.975504,0.09869937402,0.6702311746
1160,-17.37828352,-17.57861673,-17.37137548,-7126.473907,0.09869759868,0.6362593308
1170,-17.40983769,-17.60005233,-17.40327856,-7139.300691,0.0986959072,0.6039750801
1180,-17.43982221,-17.62041894,-17.43359474,-7151.488614,0.09869429593,0.573296352
1190,-17.46831355,-17.63976881,-17.4624013,-7163.06887,0.09869276133,0.5441449729
1200,-17.49538451,-17.65815167,-17.48977185,-7174.071162,0.09869130001,0.5164464858
1210,-17.52110444,-17.67561486,-17.5157765,-7184.52377,0.09868990871,0.4901299792
1220,-17.54553938,-17.69220347,-17.540482,-7194.453621,0.09868858428,0.4651279229
1230,-17.56875222,-17.70796043,-17.56395194,-7203.88635,0.09868732371,0.4413760111
1240,-17.59080283,-17.72292658,-17.58624684,-7212.84636,0.0986861241,0.4188130127
1250,-17.61174822,-17.73714084,-17.60742433,-7221.35688,0.09868498267,0.3973806284
1260,-17.63164266,-17.75064021,-17.62753929,-7229.440023,0.09868389675,0.3770233538
1270,-17.65053782,-17.76345996,-17.64664395,-7237.116834,0.09868286379,0.3576883492
1280,-17.66848288,-17.7756336,-17.66478803,-7244.407344,0.09868188134,0.3393253149
1290,-17.68552467,-17.78719306,-17.68201886,-7251.330617,0.09868094704,0.321886372
1300,-17.70170772,-17.79816872,-17.69838148,-7257.904793,0.09868005865,0.3053259494
1310,-17.71707446,-17.80858948,-17.71391877,-7264.147135,0.09867921402,0.2896006746
1320,-17.73166524,-17.81848284,-17.72867153,-7270.07407,0.09867841109,0.2746692709
1330,-17.74551846,-17.82787497,-17.74267859,-7275.701228,0.09867764788,0.2604924582
1340,-17.75867067,-17.83679076,-17.75597688,-7281.043478,0.09867692252,0.247032859
1350,-17.77115664,-17.84525391,-17.76860157,-7286.114968,0.0986762332,0.2342549083
1360,-17.78300945,-17.85328693,-17.78058609,-7290.929157,0.09867557821,0.2221247679
1370,-17.79426057,-17.86091126,-17.79196227,-7295.498848,0.0986749559,0.2106102444
1380,-17.80493995,-17.86814729,-17.80276039,-7299.836218,0.09867436469,0.1996807111
1390,-17.81507606,-17.87501441,-17.81300922,-7303.952852,0.0986738031,0.1893070338
1400,-17.82469601,-17.88153106,-17.82273618,-7307.859766,0.09867326969,0.1794614994
1410,-17.83382555,-17.88771476,-17.8319673,-7311.56744,0.0986727631,0.1701177484
1420,-17.84248919,-17.89358221,-17.84072736,-7315.085838,0.09867228202,0.1612507098
1430,-17.85071025,-17.89914926,-17.84903994,-7318.424435,0.09867182521,0.1528365402
1440,-17.85851089,-17.90443099,-17.85692744,-7321.592244,0.09867139148,0.1448525646
1450,-17.86591219,-17.90944173,-17.86441117,-7324.597831,0.09867097972,0.1372772205
1460,-17.87293418,-17.91419512,-17.87151139,-7327.449345,0.09867058883,0.1300900043
1470,-17.87959594,-17.91870411,-17.87824738,-7330.15453,0.09867021779,0.1232714209
1480,-17.88591556,-17.92298103,-17.88463744,-7332.720749,0.09866986563,0.1168029347
1490,-17.89191029,-17.92703757,-17.890699,-7335.155003,0.09866953141,0.1106669235
1500,-17.89759649,-17.93088489,-17.89644861,-7337.463946,0.09866921424,0.1048466348
1510,-17.90298973,-17.93453355,-17.90190201,-7339.653904,0.09866891328,0.09932614319
1520,-17.9081048,-17.93799361,-17.90707415,-7341.730889,0.09866862773,0.09409031081
1530,-17.91295578,-17.94127462,-17.91197926,-7343.700614,0.09866835681,0.08912474908
1540,-17.91755602,-17.94438568,-17.91663086,-7345.568511,0.0986680998,0.08441578235
1550,-17.92191823,-17.9473354,-17.92104177,-7347.33974,0.098667856,0.07995041338
1560,-17.92605448,-17.95013198,-17.92522422,-7349.019207,0.09866762476,0.07571629034
1570,-17.92997625,-17.95278323,-17.9291898,-7350.611571,0.09866740543,0.07170167539
1580,-17.93369443,-17.95529654,-17.93294953,-7352.121261,0.09866719743,0.06789541484
1590,-17.93721939,-17.95767894,-17.93651388,-7353.552485,0.09866700017,0.06428691064
1600,-17.94056096,-17.95993713,-17.93989281,-7354.909239,0.09866681314,0.06086609324
1610,-17.94372849,-17.96207743,-17.94309577,-7356.195323,0.09866663579,0.05762339583
1620,-17.94673087,-17.96410589,-17.94613173,-7357.414342,0.09866646765,0.05454972966
1630,-17.94957653,-17.96602823,-17.94900923,-7358.569726,0.09866630825,0.05163646071
1640,-17.9522735,-17.96784988,-17.95173638,-7359.664729,0.09866615715,0.04887538733
1650,-17.95482937,-17.96957602,-17.95432087,-7360.702443,0.09866601392,0.04625871908
1660,-17.95725139,-17.97121156,-17.95677001,-7361.685806,0.09866587817,0.04377905645
1670,-17.95954643,-17.97276114,-17.95909075,-7362.617605,0.09866574951,0.04142937169
1680,-17.96172099,-17.97422919,-17.96128967,-7363.500491,0.09866562758,0.03920299051
1690,-17.96378129,-17.97561993,-17.96337306,-7364.336978,0.09866551204,0.03709357457
1700,-17.96573319,-17.97693732,-17.96534684,-7365.129456,0.09866540256,0.03509510502
1710,-17.96758229,-17.97818517,-17.96721667,-7365.880191,0.09866529883,0.03320186661
1720,-17.96933389,-17.97936706,-17.96898791,-7366.591338,0.09866520056,0.03140843274
1730,-17.97099301,-17.98048641,-17.97066566,-7367.264941,0.09866510746,0.02970965114
1740,-17.97256445,-17.98154646,-17.97225473,-7367.902941,0.09866501927,0.02810063028
1750,-17.97405274,-17.98255028,-17.97375972,-7368.50718,0.09866493574,0.02657672644
1760,-17.97546219,-17.9835008,-17.97518499,-7369.079408,0.09866485662,0.02513353138
1770,-17.97679688,-17.98440078,-17.97653468,-7369.621284,0.09866478169,0.02376686065
1780,-17.9780607,-17.98525285,-17.97781269,-7370.134385,0.09866471073,0.02247274247
1790,-17.97925732,-17.98605951,-17.97902277,-7370.620207,0.09866464354,0.02124740707
1800,-17.98039026,-17.98682313,-17.98016843,-7371.080168,0.09866457992,0.02008727667
