step,time_reduced,T_reduced,T_K,coordination_number
0,0,0.4293683448,1337.235805,7.234375
50,0.25,0.4191197905,1305.317444,7.421875
100,0.5,0.4277901277,1332.320565,7.359375
150,0.75,0.4335768833,1350.342985,7.421875
200,1,0.408080531,1270.936491,7.28125
250,1.25,0.4176904766,1300.865952,7.109375
300,1.5,0.4296126625,1337.996714,6.953125
350,1.75,0.4239988298,1320.512849,7.359375
400,2,0.418594278,1303.680774,7.28125
450,2.25,0.405318115,1262.333151,7.46875
500,2.5,0.450735528,1403.782309,7.234375
550,2.75,0.3914501075,1219.142272,7.15625
600,3,0.4036944165,1257.276263,7.1875
650,3.25,0.4006559061,1247.813048,7.1875
700,3.5,0.4221581059,1314.780051,7.484375
750,3.75,0.4207057503,1310.256798,7.484375
800,4,0.3979678089,1239.441169,7.40625
850,4.25,0.4013689726,1250.033841,7.3125
900,4.5,0.4030058061,1255.131637,7.28125
950,4.75,0.4045234461,1259.858214,7.484375
1000,5,0.4086699177,1272.772091,7.375
1050,5.25,0.4083757101,1271.855804,7.609375
1100,5.5,0.4066274312,1266.410919,7.4375
1150,5.75,0.3911958968,1218.350552,7.5
1200,6,0.3837059953,1195.02381,7.296875
1250,6.25,0.4061504261,1264.925322,7.671875
1300,6.5,0.4401004326,1370.660095,7.375
1350,6.75,0.3831909154,1193.419632,7.375
1400,7,0.3708669299,1155.037495,7.1875
1450,7.25,0.4142925061,1290.283225,7.296875
1500,7.5,0.4003615329,1246.896245,7.5625
1550,7.75,0.4214633539,1312.616298,7.28125
1600,8,0.3719665162,1158.462075,7.5
1650,8.25,0.3995843168,1244.475663,7.703125
1700,8.5,0.4021950817,1252.606696,7.484375
1750,8.75,0.3767934958,1173.495344,7.15625
1800,9,0.3801738941,1184.023343,7.125
1850,9.25,0.3812089015,1187.246797,7.265625
1900,9.5,0.3706683125,1154.418916,7.71875
1950,9.75,0.4176433469,1300.71917,7.46875
2000,10,0.3778016684,1176.635223,7.546875
