,time,EV,chi,th
0,1.0,0.00031224,1.0,0.05
1,2.0,6.22629e-05,16.0,0.05
2,3.0,1.41089e-05,41.0,0.05
3,4.0,3.86735e-06,51.0,0.05
4,5.0,1.16322e-06,53.0,0.05
5,6.0,3.70154e-07,52.0,0.05
6,7.0,1.22381e-07,49.0,0.05
7,8.0,4.16033e-08,43.0,0.05
8,9.0,1.44464e-08,40.0,0.05
9,10.0,5.1012e-09,36.0,0.05
10,11.0,1.82572e-09,34.0,0.05
11,12.0,6.60795e-10,30.0,0.05
12,13.0,2.40744e-10,27.0,0.05
13,14.0,8.84759e-11,26.0,0.05
14,15.0,3.27836e-11,24.0,0.05
15,16.0,1.22586e-11,24.0,0.05
16,17.0,4.58145e-12,22.0,0.05
17,18.0,1.72501e-12,22.0,0.05
18,19.0,6.52256e-13,22.0,0.05
19,20.0,2.44034e-13,22.0,0.05
20,21.0,7.41307e-14,20.0,0.05
21,22.0,3.57573e-14,18.0,0.05
22,23.0,1.3729e-14,17.0,0.05
23,24.0,5.24764e-15,16.0,0.05
24,25.0,2.00778e-15,16.0,0.05
25,26.0,3.46942e-15,15.0,0.05
26,27.0,6.77442e-16,13.0,0.05
27,28.0,2.57869e-16,12.0,0.05
28,29.0,1.2352e-16,12.0,0.05
29,30.0,5.86993e-17,12.0,0.05
30,31.0,-1.09636e-15,12.0,0.05
31,32.0,-3.3018e-16,10.0,0.05
32,33.0,5.55478e-17,10.0,0.05
33,34.0,-2.92917e-17,9.0,0.05
34,35.0,-1.59149e-16,8.0,0.05
35,36.0,-6.53812e-17,8.0,0.05
36,37.0,2.72112e-16,8.0,0.05
37,38.0,5.56855e-16,8.0,0.05
38,39.0,-1.19487e-15,7.0,0.05
39,40.0,-1.03124e-16,5.0,0.05
40,41.0,3.43455e-17,4.0,0.05
41,42.0,5.47997e-18,4.0,0.05
42,43.0,8.91564e-19,4.0,0.05
43,44.0,1.36381e-19,4.0,0.05
44,45.0,-1.06163e-20,4.0,0.05
45,46.0,1.4236e-20,4.0,0.05
46,47.0,-1.9574e-21,3.0,0.05
47,48.0,3.03558e-20,2.0,0.05
48,49.0,3.80221e-20,2.0,0.05
49,50.0,2.34751e-21,2.0,0.05
50,51.0,2.00332e-21,2.0,0.05
51,52.0,-4.02315e-20,2.0,0.05
52,53.0,2.90943e-21,2.0,0.05
53,54.0,-1.7539e-20,2.0,0.05
54,55.0,-2.51172e-20,2.0,0.05
55,56.0,-3.55796e-20,2.0,0.05
56,57.0,1.84037e-20,2.0,0.05
57,58.0,4.49919e-21,2.0,0.05
58,59.0,1.14096e-20,2.0,0.05
59,60.0,-2.12449e-20,2.0,0.05
60,61.0,-1.83609e-20,2.0,0.05
61,62.0,-4.29881e-21,2.0,0.05
62,63.0,-3.17444e-21,2.0,0.05
63,64.0,4.70072e-20,2.0,0.05
64,65.0,2.27223e-20,2.0,0.05
