,time,EV,th
0,1.0,0.000624479,0.05
1,2.0,0.000622921,0.05
2,3.0,0.000621851,0.05
3,4.0,0.000621045,0.05
4,5.0,0.00062037,0.05
5,6.0,0.000619778,0.05
6,7.0,0.000619245,0.05
7,8.0,0.000618756,0.05
8,9.0,0.000618303,0.05
9,10.0,0.000617878,0.05
10,11.0,0.000617477,0.05
11,12.0,0.000617093,0.05
12,13.0,0.000616732,0.05
13,14.0,0.000616399,0.05
14,15.0,0.000616087,0.05
15,16.0,0.000615781,0.05
16,17.0,0.000615459,0.05
17,18.0,0.000615121,0.05
18,19.0,0.00061475,0.05
19,20.0,0.000614345,0.05
20,21.0,0.000613836,0.05
21,22.0,0.000613286,0.05
22,23.0,0.000612794,0.05
23,24.0,0.000612334,0.05
24,25.0,0.000611941,0.05
25,26.0,0.000611642,0.05
26,27.0,0.000611399,0.05
27,28.0,0.00061128,0.05
28,29.0,0.000611137,0.05
29,30.0,0.000610831,0.05
30,31.0,0.000610348,0.05
31,32.0,0.000609616,0.05
32,33.0,0.00060881,0.05
33,34.0,0.000607666,0.05
34,35.0,0.000606522,0.05
35,36.0,0.000605484,0.05
36,37.0,0.000604354,0.05
37,38.0,0.000603245,0.05
38,39.0,0.000602027,0.05
39,40.0,0.000600513,0.05
40,41.0,0.00059859,0.05
41,42.0,0.000596494,0.05
42,43.0,0.000594101,0.05
43,44.0,0.000590998,0.05
44,45.0,0.000587656,0.05
45,46.0,0.000585391,0.05
0,1.0,0.00249168,0.1
1,2.0,0.00246692,0.1
2,3.0,0.00245005,0.1
3,4.0,0.00243738,0.1
4,5.0,0.00242682,0.1
5,6.0,0.00241759,0.1
6,7.0,0.0024093,0.1
7,8.0,0.00240171,0.1
8,9.0,0.00239468,0.1
9,10.0,0.00238811,0.1
10,11.0,0.00238191,0.1
11,12.0,0.00237602,0.1
12,13.0,0.00237043,0.1
13,14.0,0.00236513,0.1
14,15.0,0.00236008,0.1
15,16.0,0.0023552,0.1
16,17.0,0.00235039,0.1
17,18.0,0.00234565,0.1
18,19.0,0.0023409,0.1
19,20.0,0.00233614,0.1
20,21.0,0.00233109,0.1
21,22.0,0.00232599,0.1
